article_id,model_type,compartmental_type
2947,Compartmental,Other compartmental
3471,Agent / Individual based,Not compartmental
3471,Agent / Individual based,Not compartmental
5871,Compartmental,SEIR
5871,Compartmental,SEIR
5871,Compartmental,SEIR
6346,Other,Not compartmental
6346,Branching process,Not compartmental
676,Compartmental,SEIR
6275,Compartmental,Other compartmental
6275,Compartmental,Other compartmental
5323,Compartmental,Other compartmental
5323,Compartmental,Other compartmental
5940,Branching process,Not compartmental
944,Compartmental,Other compartmental
3777,Compartmental,SEIR
23068,Compartmental,SEIR
23068,Compartmental,SEIR
18917,Compartmental,Other compartmental
65,Compartmental,Other compartmental
65,Compartmental,Other compartmental
3343,Agent / Individual based,Not compartmental
3188,Compartmental,Other compartmental
4421,Compartmental,SEIR
4421,Compartmental,SEIR
6944,Compartmental,Other compartmental
6944,Compartmental,Other compartmental
6944,Other,Not compartmental
1170,Branching process,Not compartmental
1170,Compartmental,SEIR
18847,Compartmental,Other compartmental
18847,Compartmental,Other compartmental
30,Compartmental,SEIR
30,Compartmental,SEIR
1543,Compartmental,Other compartmental
1543,Compartmental,Other compartmental
3103,Other,Not compartmental
3470,Agent / Individual based,Not compartmental
3470,Agent / Individual based,Not compartmental
2869,Compartmental,Other compartmental
2869,Compartmental,Other compartmental
2869,Compartmental,Other compartmental
2869,Compartmental,SEIR
6333,Branching process,Not compartmental
6333,Branching process,Not compartmental
6333,Branching process,Not compartmental
2506,Compartmental,Not compartmental
2506,Compartmental,Not compartmental
2506,Compartmental,Not compartmental
2506,Compartmental,Not compartmental
3940,Compartmental,SIR
3940,Compartmental,Other compartmental
5005,Agent / Individual based,Not compartmental
12194,Compartmental,Other compartmental
18371,Compartmental,SEIR
18371,Compartmental,SEIR
4862,Branching process,Not compartmental
2313,Branching process,Not compartmental
3058,Branching process,Not compartmental
3058,Branching process,Not compartmental
6301,Compartmental,SEIR
5255,Compartmental,SEIR
5255,Compartmental,Other compartmental
4420,Compartmental,SEIR
4420,Compartmental,SEIR
4420,Compartmental,SEIR
4420,Compartmental,SEIR
2547,Compartmental,Other compartmental
5380,Agent / Individual based,Not compartmental
5380,Agent / Individual based,Not compartmental
5380,Branching process,Not compartmental
4787,Branching process,Not compartmental
4828,Compartmental,Other compartmental
5869,Compartmental,SEIR
1552,Compartmental,Other compartmental
1552,Compartmental,Other compartmental
5929,Compartmental,Other compartmental
5929,Compartmental,Other compartmental
5929,Compartmental,Other compartmental
3809,Branching process,Not compartmental
2857,Agent / Individual based,Not compartmental
5935,Compartmental,Other compartmental
5935,Compartmental,Other compartmental
885,Agent / Individual based,Not compartmental
18242,Branching process,Not compartmental
18242,Branching process,Not compartmental
18242,Compartmental,SEIR
5923,Agent / Individual based,Not compartmental
23964,Compartmental,Other compartmental
23964,Compartmental,Other compartmental
15924,Compartmental,SEIR
17533,Compartmental,Other compartmental
17533,Compartmental,Other compartmental
17533,Compartmental,Other compartmental
1636,Branching process,Not compartmental
1636,Compartmental,SIR
1636,Compartmental,Other compartmental
1636,Compartmental,SEIR
19193,Branching process,Not compartmental
19193,Compartmental,SIS
19193,Compartmental,SIR
19193,Compartmental,Other compartmental
2065,Other,Not compartmental
2065,Compartmental,SEIR
2065,Compartmental,SEIR
2065,Compartmental,SEIR
315,Compartmental,Other compartmental
315,Compartmental,Other compartmental
18372,Compartmental,SEIR
18372,Compartmental,SEIR
15321,Compartmental,Other compartmental
15321,Compartmental,Other compartmental
15321,Compartmental,Other compartmental
15321,Compartmental,Other compartmental
15321,Compartmental,Other compartmental
1015,Branching process,Not compartmental
3778,Agent / Individual based,Not compartmental
19236,Compartmental,SIR
11996,Compartmental,Other compartmental
11996,Compartmental,Other compartmental
19444,Compartmental,Other compartmental
4766,Other,Not compartmental
4766,Other,Not compartmental
4766,Branching process,Not compartmental
4766,Compartmental,SIR
15365,Compartmental,Other compartmental
16761,Compartmental,Other compartmental
4066,Compartmental,Other compartmental
17097,Compartmental,Other compartmental
4679,Other,Not compartmental
4679,Other,Not compartmental
4679,Other,Not compartmental
5868,Compartmental,SEIR
4155,Other,Not compartmental
6359,Compartmental,Other compartmental
6359,Compartmental,Other compartmental
6359,Compartmental,Other compartmental
15735,Compartmental,SEIR
4642,Compartmental,SEIR
3060,Compartmental,SEIR
5476,Compartmental,SEIR
5476,Compartmental,SEIR
5476,Compartmental,Other compartmental
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
2980,Compartmental,SEIR
16691,Branching process,Not compartmental
16691,Branching process,Not compartmental
15896,Branching process,Not compartmental
15896,Branching process,Not compartmental
15896,Branching process,Not compartmental
15896,Branching process,Not compartmental
15896,Branching process,Not compartmental
15896,Branching process,Not compartmental
15896,Branching process,Not compartmental
17946,Compartmental,Other compartmental
17946,Compartmental,Other compartmental
17946,Compartmental,Other compartmental
17946,Compartmental,Other compartmental
19420,Branching process,Not compartmental
2594,Branching process,Not compartmental
5033,Compartmental,Other compartmental
18772,Compartmental,Other compartmental
18772,Compartmental,Other compartmental
18772,Compartmental,SEIR
