article_id,outbreak_country,outbreak_start_year,cases_confirmed
PMID_25214632,Democratic Republic of the Congo,1976.0,
PMID_16999875,Democratic Republic of the Congo,1976.0,318.0
PMID_16999875,Sudan,1976.0,284.0
PMID_16999875,Sudan,1979.0,34.0
PMID_16999875,Gabon,1994.0,51.0
PMID_16999875,Democratic Republic of the Congo,1995.0,315.0
PMID_16999875,Gabon,1996.0,31.0
PMID_16999875,Gabon,1996.0,60.0
PMID_16999875,Uganda,2000.0,425.0
PMID_16999875,Gabon,2001.0,65.0
PMID_16999875,Congo,2001.0,58.0
PMID_16999875,Congo,2003.0,143.0
PMID_16999875,Congo,2003.0,35.0
PMID_16999875,Sudan,2004.0,17.0
PMID_16999875,Congo,2005.0,12.0
PMID_28193880,Sierra Leone,2014.0,200.0
PMID_28396479,Guinea,2013.0,3304.0
PMID_28396479,Liberia,2013.0,3743.0
PMID_28396479,Sierra Leone,2013.0,9397.0
PMID_14718087,Uganda,2000.0,218.0
PMID_14718087,Sudan,1976.0,
PMID_14718087,Democratic Republic of the Congo,1976.0,
PMID_14718087,Democratic Republic of the Congo,1995.0,
PMID_14718087,Gabon,2001.0,
PMID_14718087,Congo,2001.0,
PMID_30828672,Guinea,,
PMID_30828672,Liberia,,
PMID_30828672,Sierra Leone,,
PMID_27846234,Guinea,2013.0,
PMID_27846234,Liberia,2013.0,
PMID_27846234,Sierra Leone,2013.0,
PMID_26515898,Guinea,2013.0,3011.0
PMID_26515898,Sierra Leone,2014.0,8520.0
PMID_26515898,Liberia,2014.0,3151.0
PMID_28229017,Democratic Republic of the Congo,1976.0,318.0
PMID_28229017,South Sudan,1976.0,284.0
PMID_28229017,Democratic Republic of the Congo,1977.0,1.0
PMID_28229017,South Sudan,1979.0,34.0
PMID_28229017,Gabon,1994.0,52.0
PMID_28229017,Côte d'Ivoire,1994.0,1.0
PMID_28229017,Democratic Republic of the Congo,1995.0,315.0
PMID_28229017,Gabon,1996.0,37.0
PMID_28229017,Gabon,1996.0,60.0
