article_id,parameter_class,value,unit
3471,human_delay,3.9,days
3471,human_delay,10.9,days
5871,severity,0.74,
4364,severity,0.629,
4364,severity,0.913,
676,relative_contribution,0.1,
4507,attack_rate,20.5,percentage
4507,human_delay,10.0,days
4507,human_delay,15.0,days
6275,reproduction_number,1.44,
6275,severity,0.73,
5323,human_delay,1.498,weeks
5323,human_delay,0.762,weeks
5323,reproduction_number,1.403,
5323,reproduction_number,1.013,
944,human_delay,3.0,days
944,reproduction_number,1.7994,
944,reproduction_number,0.9873000000000001,
3777,reproduction_number,1.7570000000000001,
3777,reproduction_number,1.9000000000000001,
3777,reproduction_number,1.492,
65,reproduction_number,2.012,
65,reproduction_number,0.725,
65,reproduction_number,0.736,
3080,reproduction_number,0.97,
3080,reproduction_number,1.26,
3080,reproduction_number,,
6470,attack_rate,27.3,percentage
6470,human_delay,7.0,days
6470,human_delay,6.3,days
4967,severity,0.21,
3188,relative_contribution,0.1155,
3188,relative_contribution,0.0236,
3188,reproduction_number,1.8162,
3188,severity,0.723,
4421,reproduction_number,0.9,
1407,mutation_rate,0.0008700000000000001,substitutions_per_site_per_year
1170,reproduction_number,1.29,
30,reproduction_number,1.26,
2532,reproduction_number,1.7,
3470,human_delay,8.0,days
3470,reproduction_number,2.0,
865,mutation_rate,0.0013000000000000002,substitutions_per_site_per_year
865,mutation_rate,0.0006900000000000001,substitutions_per_site_per_year
865,mutation_rate,0.0008200000000000001,substitutions_per_site_per_year
4865,human_delay,8.0,days
4865,severity,0.53,
1053,attack_rate,65.0,percentage
1053,attack_rate,25.0,percentage
2890,mutation_rate,,
2506,growth_rate,0.1605,per_day
2506,reproduction_number,1.3522,
241,attack_rate,43.0,rate
241,attack_rate,20.0,rate
241,human_delay,10.0,days
2313,human_delay,,
2313,reproduction_number,1.03,
2313,reproduction_number,0.89,
4420,human_delay,9.4,days
4420,human_delay,1.0,days
4420,human_delay,3.0,days
4420,human_delay,5.0,days
4420,reproduction_number,4.5,
4420,severity,0.39,
2547,reproduction_number,4.16,
4828,growth_rate,0.167,per_day
4828,human_delay,2.0,days
4828,human_delay,21.0,days
4828,reproduction_number,2.6,
3247,mutation_rate,0.0013000000000000002,substitutions_per_site_per_year
3247,mutation_rate,0.0006900000000000001,substitutions_per_site_per_year
3046,mutation_rate,,
5869,reproduction_number,5.2,
5869,reproduction_number,5.15,
5869,reproduction_number,5.6,
