article_id,model_type,compartmental_type
560,Branching process,Not compartmental
560,Branching process,Not compartmental
2620,Compartmental,Other compartmental
5628,Compartmental,SEIR-SEI
558,Other,Not compartmental
558,Other,Not compartmental
558,Other,Not compartmental
558,Branching process,Not compartmental
558,Branching process,Not compartmental
558,Branching process,Not compartmental
3659,Compartmental,SEIR-SEI
5443,Compartmental,Other compartmental
4316,Compartmental,SEIR-SEI
2590,Other,Not compartmental
2590,Other,Not compartmental
5512,Compartmental,Other compartmental
5461,Compartmental,Other compartmental
5461,Compartmental,Other compartmental
4193,Compartmental,Other compartmental
