article_id,model_type,compartmental_type
DOI_e759f6dc0b06,Compartmental,Other compartmental
DOI_4efb0b93ae5b,Compartmental,SEIR
DOI_4efb0b93ae5b,Compartmental,SEIR
PMID_25673678,Compartmental,SIR
PMID_25673678,Compartmental,SEIR
PMID_25673678,Compartmental,SEIR
PMID_23251407,Agent / Individual based,Not compartmental
PMID_23251407,Agent / Individual based,Not compartmental
PMID_23251407,Agent / Individual based,Not compartmental
DOI_87fafc41c36c,Compartmental,SEIR-SEI
DOI_00159f571a08,Compartmental,Other compartmental
DOI_00159f571a08,Compartmental,Other compartmental
