article_id,outbreak_country,outbreak_start_year,cases_confirmed
PMID_19649327,Uganda,2007.0,2.0
PMID_30883555,Uganda,2017.0,3.0
PMID_26209681,Uganda,2012.0,15.0
PMID_26209681,Uganda,2007.0,4.0
PMID_26209681,Uganda,2008.0,2.0
DOI_1f7dbb45fe67,Zimbabwe,1975.0,
DOI_1f7dbb45fe67,Kenya,1980.0,
DOI_1f7dbb45fe67,Kenya,1987.0,
DOI_1f7dbb45fe67,Democratic Republic of the Congo,1998.0,
DOI_1f7dbb45fe67,Angola,2004.0,
DOI_1f7dbb45fe67,Uganda,2007.0,
DOI_1f7dbb45fe67,Uganda,2007.0,
DOI_1f7dbb45fe67,Uganda,2008.0,
DOI_1f7dbb45fe67,Uganda,2012.0,
DOI_1f7dbb45fe67,Uganda,2014.0,
PMID_16775337,Angola,2004.0,
PMID_16775337,Democratic Republic of the Congo,1998.0,
PMID_16775337,Zimbabwe,1975.0,
PMID_14720391,Democratic Republic of the Congo,1998.0,8.0
PMID_4207635,Germany,1967.0,23.0
PMID_4207635,Germany,1967.0,6.0
PMID_4207635,Serbia,1967.0,2.0
PMID_35866633,Guinea,2021.0,1.0
PMID_35866633,Angola,2005.0,374.0
PMID_35866633,Democratic Republic of the Congo,1998.0,154.0
PMID_23255795,Sudan,1976.0,
PMID_23255795,Uganda,2000.0,
PMID_23255795,Angola,2005.0,
PMID_40180579,Equatorial Guinea,2022.0,16.0
PMID_23516123,Uganda,2012.0,9.0
PMID_9658086,Angola,2004.0,
PMID_9448698,Germany,1967.0,
PMID_9448698,South Africa,1975.0,
PMID_9448698,Kenya,1980.0,
PMID_9448698,Kenya,1987.0,
PMID_37632063,Equatorial Guinea,2023.0,17.0
PMID_8437211,Angola,2004.0,
PMID_8437211,Democratic Republic of the Congo,1998.0,154.0
DOI_a4924472df4a,United Republic of Tanzania,2023.0,
PMID_30107445,Democratic Republic of the Congo,,6.0
PMID_25673678,Democratic Republic of the Congo,1998.0,
PMID_25673678,Angola,2004.0,
PMID_23251407,Angola,2004.0,
PMID_36854489,Guinea,2014.0,3358.0
PMID_36854489,Guinea,2021.0,16.0
PMID_36854489,Guinea,2021.0,1.0
PMID_28724616,Uganda,2012.0,15.0
PMID_40540509,United Republic of Tanzania,2023.0,8.0
PMID_36851523,Angola,,
PMID_40394565,Rwanda,2024.0,56.0
PMID_40394565,Rwanda,2024.0,66.0
PMID_21046175,Angola,2004.0,252.0
PMID_21046175,Democratic Republic of the Congo,1998.0,154.0
PMID_16704781,Democratic Republic of the Congo,1998.0,50.0
PMID_21629730,Zimbabwe,1975.0,
PMID_21629730,Kenya,1980.0,
PMID_21629730,Kenya,1987.0,
PMID_21629730,Democratic Republic of the Congo,1998.0,
PMID_21629730,Angola,2004.0,
PMID_21629730,Uganda,2007.0,
PMID_21629730,United States of America,2008.0,
PMID_21629730,Netherlands,2008.0,
PMID_40732724,Uganda,2012.0,
PMID_37085922,Angola,2005.0,374.0
PMID_37085922,Democratic Republic of the Congo,1998.0,154.0
PMID_37085922,Uganda,2014.0,1.0
PMID_37085922,Uganda,2012.0,15.0
PMID_37085922,Uganda,2007.0,4.0
PMID_40938894,Rwanda,2024.0,66.0
DOI_00159f571a08,Germany,1967.0,31.0
DOI_00159f571a08,Serbia,1967.0,31.0
DOI_00159f571a08,Guinea,2021.0,1.0
DOI_00159f571a08,Angola,2005.0,
PMID_41156847,Guinea,2013.0,28500.0
PMID_41156847,Democratic Republic of the Congo,2020.0,130.0
PMID_41156847,Guinea,2021.0,23.0
PMID_41156847,Uganda,2007.0,4.0
PMID_41156847,Kenya,1987.0,1.0
PMID_41156847,Uganda,2007.0,131.0
PMID_41156847,Côte d'Ivoire,1994.0,1.0
PMID_40852983,Angola,2004.0,
PMID_40852983,Democratic Republic of the Congo,1998.0,
