article_id,parameter_class,value,unit
PMID_26209681,human_delay,4.0,days
PMID_26209681,human_delay,9.0,days
PMID_26209681,human_delay,6.5,days
PMID_26209681,severity,0.27,
PMID_26209681,severity,1.0,
PMID_26209681,severity,0.44,
PMID_14720391,seroprevalence,0.02,
PMID_14720391,seroprevalence,0.0,
PMID_14720391,seroprevalence,0.0,
PMID_14720391,seroprevalence,0.0,
PMID_14720391,severity,0.83,
PMID_26047124,seroprevalence,0.005,
PMID_26047124,seroprevalence,,
PMID_23255795,mutation_rate,,
PMID_40180579,human_delay,18.5,days
PMID_40180579,human_delay,8.0,days
PMID_40180579,human_delay,4.0,days
PMID_40180579,human_delay,2.0,days
PMID_40180579,human_delay,14.0,days
PMID_40180579,human_delay,,
PMID_40180579,severity,,
PMID_30704427,severity,1.0,
PMID_37632063,severity,0.75,
PMID_37632063,severity,1.0,
PMID_33095766,seroprevalence,0.01,
PMID_33095766,seroprevalence,0.023,
PMID_33095766,seroprevalence,0.085,
PMID_33095766,seroprevalence,0.186,
PMID_29924324,seroprevalence,0.053,
PMID_29924324,seroprevalence,,
PMID_25673678,seroprevalence,,
PMID_39205171,attack_rate,95.8,percentage
PMID_39205171,attack_rate,0.0,percentage
PMID_39205171,seroprevalence,,
PMID_23251407,human_delay,3.0,days
PMID_23251407,human_delay,7.0,days
PMID_23251407,human_delay,,
PMID_23251407,reproduction_number,1.59,
PMID_23251407,severity,0.88,
PMID_28724616,seroprevalence,1.0,
PMID_28724616,severity,,
PMID_40265897,attack_rate,92.0,percentage
PMID_40265897,attack_rate,12.0,rate
PMID_40265897,attack_rate,24.5,percentage
PMID_40265897,seroprevalence,1.0,
PMID_16704781,attack_rate,21.0,percentage
PMID_16704781,attack_rate,19.0,percentage
PMID_16704781,attack_rate,16.0,percentage
PMID_16704781,attack_rate,20.0,percentage
PMID_16704781,attack_rate,31.0,percentage
PMID_16704781,relative_contribution,0.408,
PMID_16704781,relative_contribution,0.592,
PMID_16704781,reproduction_number,0.9,
PMID_16704781,reproduction_number,0.93,
PMID_16704781,seroprevalence,0.0165,
PMID_40732724,human_delay,12.0,other
DOI_f098d48494ec,attack_rate,0.1,percentage
DOI_f098d48494ec,seroprevalence,0.026,
DOI_f098d48494ec,seroprevalence,0.025,
DOI_f098d48494ec,seroprevalence,0.001,
DOI_f098d48494ec,seroprevalence,0.037,
DOI_45f974d9ce69,seroprevalence,0.001,
DOI_45f974d9ce69,seroprevalence,0.0,
DOI_45f974d9ce69,seroprevalence,0.011,
PMID_22710186,seroprevalence,0.0,
PMID_22710186,seroprevalence,0.0,
DOI_4d83b8bb0613,attack_rate,17.5,percentage
DOI_4d83b8bb0613,attack_rate,4.8,percentage
DOI_4d83b8bb0613,attack_rate,1.9,percentage
DOI_4d83b8bb0613,attack_rate,0.6,percentage
DOI_4d83b8bb0613,seroprevalence,0.048,
DOI_4d83b8bb0613,seroprevalence,,
