title,article_id,ai4epi_fulltext_decision
How severe and prevalent are Ebola and Marburg viruses? A systematic review and meta-analysis of the case fatality rates and seroprevalence,PMID_27887599,EXCLUDE
"Large serological survey showing cocirculation of Ebola and Marburg viruses in Gabonese bat populations, and a high seroprevalence of both viruses in Rousettus aegyptiacus",PMID_19785757,EXCLUDE
Animal models for Ebola and Marburg virus infections,PMID_24046765,EXCLUDE
Considerations in the Use of Nonhuman Primate Models of Ebola Virus and Marburg Virus Infection: Table 1.,PMID_26063223,EXCLUDE
Modelling filovirus maintenance in nature by experimental transmission of Marburg virus between Egyptian rousette bats,PMID_28194016,EXCLUDE
Marburg virus pathogenesis – differences and similarities in humans and animal models,PMID_31888676,EXCLUDE
"Marburg virus disease outbreaks, mathematical models, and disease parameters: a systematic review",PMID_38040006,EXCLUDE
Ecological dynamics of emerging bat virus spillover,PMID_25392474,EXCLUDE
Emergence of Marburg virus: a global perspective on fatal outbreaks and clinical challenges,PMID_37771708,EXCLUDE
"Genomic analysis of codon usage shows influence of mutation pressure, natural selection, and host features on Marburg virus evolution",PMID_26306510,EXCLUDE
Ebola haemorrhagic fever in Zaire,PMID_307456,EXCLUDE
ORAL SHEDDING OF MARBURG VIRUS IN EXPERIMENTALLY INFECTED EGYPTIAN FRUIT BATS ( <i>ROUSETTUS AEGYPTIACUS</i> ),PMID_25375951,EXCLUDE
Establishment and Characterization of a Lethal Mouse Model for the Angola Strain of Marburg Virus,PMID_25142608,EXCLUDE
Seasonal Pulses of Marburg Virus Circulation in Juvenile Rousettus aegyptiacus Bats Coincide with Periods of Increased Risk of Human Infection,PMID_23055920,EXCLUDE
Infection Rates and Risk Factors for Infection Among Health Workers During Ebola and Marburg Virus Outbreaks: A Systematic Review,PMID_30202878,EXCLUDE
Marburg Virus Infection Detected in a Common African Bat,PMID_17712412,EXCLUDE
Transmission or Within-Host Dynamics Driving Pulses of Zoonotic Viruses in Reservoir–Host Populations,PMID_27489944,EXCLUDE
Isolation of Genetically Diverse Marburg Viruses from Egyptian Fruit Bats,PMID_19649327,INCLUDE
Risk factors for transmission of Ebola or Marburg virus disease: a systematic review and meta-analysis,PMID_26589246,EXCLUDE
"Marburg Virus Disease outbreaks, mathematical models, and disease parameters: a Systematic Review",DOI_38de5479ac43,EXCLUDE
"Marburg virus disease outbreak in Kween District Uganda, 2017: Epidemiological and laboratory findings",PMID_30883555,INCLUDE
"Multidistrict Outbreak of Marburg Virus Disease—Uganda, 2012",PMID_26209681,INCLUDE
Ecologic and Geographic Distribution of Filovirus Disease,PMID_15078595,INCLUDE
Outbreake of Marburg virus disease in Johannesburg.,PMID_811315,EXCLUDE
Virological and Serological Findings in Rousettus aegyptiacus Experimentally Inoculated with Vero Cells-Adapted Hogan Strain of Marburg Virus,PMID_23029039,EXCLUDE
Forty-Five Years of Marburg Virus Research,PMID_23202446,EXCLUDE
"Rapid Detection and Quantification of RNA of Ebola and Marburg Viruses, Lassa Virus, Crimean-Congo Hemorrhagic Fever Virus, Rift Valley Fever Virus, Dengue Virus, and Yellow Fever Virus by Real-Time Reverse Transcription-PCR",PMID_12089242,EXCLUDE
Panmicrobial Oligonucleotide Array for Diagnosis of Infectious Diseases,PMID_17370518,EXCLUDE
Mapping the zoonotic niche of Marburg virus disease in Africa,DOI_1f7dbb45fe67,INCLUDE
Marburgvirus Genomics and Association with a Large Hemorrhagic Fever Outbreak in Angola,PMID_16775337,INCLUDE
Studies of Reservoir Hosts for Marburg Virus,PMID_18258034,EXCLUDE
Immunological Methods for Detection and Identification of Infectious Disease and Biological Warfare Agents,PMID_12853377,EXCLUDE
