article_id,outbreak_country,outbreak_start_year,cases_confirmed
PMID_24829216,Jordan,2012.0,9.0
PMID_26847480,Saudi Arabia,2014.0,40.0
PMID_28378546,Republic of Korea,2015.0,186.0
PMID_28153558,Republic of Korea,2015.0,186.0
PMID_26473095,Republic of Korea,2015.0,186.0
PMID_23787162,Saudi Arabia,2012.0,1.0
PMID_23787162,Saudi Arabia,2012.0,3.0
PMID_23787162,Saudi Arabia,2012.0,1.0
PMID_23787162,Jordan,2012.0,2.0
PMID_26981708,United Arab Emirates,2013.0,5.0
PMID_26981708,United Arab Emirates,2014.0,3.0
PMID_26981708,United Arab Emirates,2014.0,21.0
PMID_28057317,Republic of Korea,2015.0,186.0
PMID_26713252,Republic of Korea,2015.0,186.0
PMID_25714162,Saudi Arabia,2014.0,255.0
PMID_26933050,Republic of Korea,2015.0,186.0
PMID_28960494,Republic of Korea,2015.0,26.0
PMID_25187734,Saudi Arabia,2013.0,425.0
PMID_25187734,Saudi Arabia,,24.0
PMID_25187734,Saudi Arabia,,169.0
PMID_25187734,Saudi Arabia,,156.0
PMID_25187734,Saudi Arabia,,25.0
PMID_25187734,Saudi Arabia,,22.0
PMID_25187734,Saudi Arabia,,2.0
PMID_25187734,Saudi Arabia,,5.0
PMID_25187734,Saudi Arabia,,7.0
PMID_25187734,Saudi Arabia,,3.0
PMID_25187734,Saudi Arabia,,11.0
PMID_25187734,Saudi Arabia,,1.0
PMID_27767011,Saudi Arabia,2014.0,20.0
PMID_30343247,Republic of Korea,2015.0,186.0
PMID_28588290,Saudi Arabia,2012.0,1299.0
PMID_28588290,Republic of Korea,2015.0,186.0
PMID_27457935,Saudi Arabia,2013.0,
PMID_27457935,Saudi Arabia,2013.0,
PMID_27457935,Saudi Arabia,2014.0,529.0
PMID_27900364,Republic of Korea,2015.0,186.0
PMID_26539018,Republic of Korea,2015.0,81.0
PMID_26539018,Republic of Korea,2015.0,186.0
PMID_27402381,Republic of Korea,2015.0,82.0
PMID_25811546,Saudi Arabia,2013.0,0.0
PMID_25811546,Saudi Arabia,2013.0,9.0
PMID_32059047,Saudi Arabia,2015.0,
PMID_32059047,Saudi Arabia,2015.0,
PMID_32059047,Saudi Arabia,2015.0,
PMID_32059047,Saudi Arabia,2016.0,249.0
PMID_27191038,Saudi Arabia,2014.0,19.0
PMID_27191038,Saudi Arabia,2014.0,1.0
PMID_27191038,Saudi Arabia,2014.0,1.0
PMID_31089148,Republic of Korea,2015.0,186.0
PMID_31089148,Saudi Arabia,2015.0,112.0
PMID_31089148,Saudi Arabia,2015.0,8.0
PMID_31089148,Saudi Arabia,2016.0,19.0
PMID_31089148,Saudi Arabia,2016.0,30.0
PMID_31089148,Saudi Arabia,2016.0,5.0
PMID_31089148,Saudi Arabia,2017.0,10.0
PMID_31089148,Saudi Arabia,2017.0,5.0
PMID_31089148,Saudi Arabia,2017.0,5.0
PMID_31089148,Saudi Arabia,2017.0,34.0
PMID_31089148,Saudi Arabia,2017.0,9.0
PMID_29239118,United Arab Emirates,2013.0,65.0
PMID_28610609,Republic of Korea,2015.0,186.0
PMID_26211569,Saudi Arabia,2013.0,18.0
PMID_26583829,Republic of Korea,2015.0,186.0
PMID_28703921,Republic of Korea,2015.0,186.0
PMID_26851269,Saudi Arabia,2012.0,721.0
PMID_26851269,Saudi Arabia,2014.0,525.0
PMID_27775012,Republic of Korea,2015.0,186.0
PMID_27775012,Saudi Arabia,,34.0
PMID_30900977,Republic of Korea,2015.0,186.0
PMID_29062261,Saudi Arabia,2013.0,765.0
PMID_26484549,Saudi Arabia,2014.0,45.0
DOI_5147ff2cb82e,Republic of Korea,2015.0,181.0
DOI_5147ff2cb82e,Republic of Korea,,88.0
