article_id,parameter_class,value,unit
PMID_24829216,human_delay,8.0,days
PMID_24829216,human_delay,17.0,days
PMID_24829216,seroprevalence,0.056,
PMID_24829216,severity,0.22,
PMID_28378546,human_delay,,
PMID_28378546,severity,,
PMID_26473095,human_delay,6.83,days
PMID_26473095,human_delay,12.5,days
PMID_26473095,human_delay,5.0,days
PMID_26473095,human_delay,15.0,days
PMID_26473095,severity,0.194,
PMID_26981708,relative_contribution,0.6666666667,
PMID_26981708,severity,1.0,
PMID_26981708,severity,,
PMID_32056235,human_delay,4.7,days
PMID_32056235,human_delay,5.8,days
PMID_32056235,human_delay,7.5,days
PMID_32056235,human_delay,,
PMID_32056235,severity,,
PMID_26713252,growth_rate,,
PMID_26713252,reproduction_number,,
PMID_25714162,human_delay,11.0,days
PMID_25714162,relative_contribution,97.3,
PMID_25714162,relative_contribution,2.7,
PMID_25714162,severity,0.365,
PMID_28960494,attack_rate,12.0,percentage
PMID_29336306,mutation_rate,0.000459,substitutions_per_site_per_year
PMID_29336306,reproduction_number,0.72,
PMID_27767011,attack_rate,,
PMID_27767011,seroprevalence,0.08,
PMID_27767011,seroprevalence,,
PMID_27767011,seroprevalence,,
PMID_27767011,severity,0.3611111111111111,
PMID_27767011,severity,0.0,
PMID_27767011,severity,0.15,
PMID_28588290,relative_contribution,94.1,
PMID_28588290,relative_contribution,3.2,
PMID_28588290,relative_contribution,,
PMID_28588290,severity,,
PMID_27457935,human_delay,6.8,days
PMID_27457935,relative_contribution,0.12,
PMID_27457935,relative_contribution,0.23,
PMID_27457935,relative_contribution,0.05,
PMID_27457935,reproduction_number,0.45,
PMID_27457935,reproduction_number,0.24,
PMID_26539018,human_delay,6.0,days
PMID_26539018,human_delay,7.0,days
PMID_26539018,human_delay,58.0,hours
PMID_26539018,relative_contribution,0.97,
PMID_27402381,attack_rate,2.0,percentage
PMID_27402381,attack_rate,23.0,percentage
PMID_27402381,attack_rate,32.0,percentage
PMID_27402381,attack_rate,8.0,percentage
PMID_27402381,attack_rate,,
PMID_27402381,attack_rate,,
PMID_30570714,seroprevalence,0.681,
PMID_30570714,seroprevalence,,
PMID_32059047,relative_contribution,0.03,
PMID_32059047,relative_contribution,0.5,
PMID_32059047,reproduction_number,2.0706,
PMID_32059047,reproduction_number,4.5716,
PMID_32059047,reproduction_number,,
PMID_26216974,severity,0.385,
PMID_27142087,mutation_rate,,
PMID_27191038,attack_rate,24.0,percentage
PMID_27191038,attack_rate,44.0,percentage
PMID_27191038,attack_rate,42.0,percentage
PMID_27191038,attack_rate,0.8,percentage
PMID_27191038,human_delay,3.0,days
PMID_27191038,seroprevalence,,
PMID_27191038,severity,0.1052631578947368,
PMID_27191038,severity,0.4260869565217391,
PMID_27191038,severity,0.1578947368421052,
PMID_27191038,severity,0.8421052631578947,
PMID_31089148,human_delay,,
PMID_31089148,reproduction_number,,
PMID_31089148,severity,,
PMID_24856660,attack_rate,3.6,percentage
PMID_24856660,seroprevalence,0.923,
PMID_24856660,seroprevalence,0.0,
PMID_28703921,growth_rate,0.155,per_day
PMID_28703921,human_delay,8.19,days
PMID_28703921,human_delay,9.26,days
PMID_28703921,human_delay,4.05,days
PMID_28703921,human_delay,12.62,days
PMID_28703921,reproduction_number,,
PMID_26851269,severity,0.42,
PMID_26851269,severity,0.22,
PMID_26851269,severity,,
PMID_27775012,human_delay,6.9,days
PMID_27775012,human_delay,5.0,days
PMID_27775012,human_delay,6.9,days
PMID_27775012,human_delay,6.9,days
PMID_27775012,severity,0.4705882352941176,
PMID_27775012,severity,0.2260869565217391,
PMID_30900977,human_delay,13.0,days
PMID_30900977,human_delay,174.0,days
PMID_30900977,human_delay,,
PMID_29062261,reproduction_number,,
PMID_26484549,mutation_rate,0.000654,substitutions_per_site_per_year
PMID_26484549,severity,0.2888888888888888,
PMID_26484549,severity,0.0888888888888888,
PMID_26484549,severity,0.1739130434782608,
PMID_26484549,severity,,
PMID_26692003,human_delay,4.0,days
PMID_26692003,human_delay,17.0,days
PMID_26692003,human_delay,14.0,days
PMID_26692003,severity,,
PMID_26890291,human_delay,,
PMID_26890291,severity,0.21,
PMID_32410603,human_delay,21.0,days
PMID_32410603,human_delay,4.0,days
PMID_32410603,human_delay,23.0,days
PMID_30294616,attack_rate,1.0,percentage
PMID_30294616,attack_rate,9.0,percentage
PMID_30294616,seroprevalence,0.01,
PMID_32278147,growth_rate,0.32,per_day
PMID_26814649,mutation_rate,3.44e-06,unspecified
PMID_26814649,mutation_rate,3.78e-06,unspecified
PMID_26814649,mutation_rate,0.0013,substitutions_per_site_per_year
PMID_31959375,severity,,
PMID_28585916,human_delay,19.0,days
PMID_28585916,human_delay,2.0,other
PMID_28585916,seroprevalence,0.25,
PMID_28585916,seroprevalence,0.0,
PMID_28585916,seroprevalence,0.0,
PMID_28585916,seroprevalence,,
PMID_28575307,attack_rate,,
PMID_28575307,attack_rate,,
PMID_28575307,human_delay,8.0,days
PMID_28575307,human_delay,8.5,days
PMID_28575307,human_delay,,
PMID_28575307,relative_contribution,0.2,
PMID_28575307,severity,0.655,
PMID_28575307,severity,0.951,
PMID_27475739,attack_rate,1.5,percentage
PMID_27475739,attack_rate,,
PMID_27475739,seroprevalence,,
PMID_26488869,human_delay,13.0,days
PMID_26488869,human_delay,22.0,days
PMID_26488869,human_delay,,
PMID_26488869,severity,,
PMID_31029095,severity,0.305,
PMID_31029095,severity,0.321,
PMID_26875601,severity,,
PMID_29061208,human_delay,14.0,days
PMID_29061208,relative_contribution,45.2,
PMID_29061208,severity,0.312291,
PMID_29061208,severity,0.8765,
PMID_30394248,severity,0.1579,
PMID_30394248,severity,0.235,
PMID_30394248,severity,0.1391,
PMID_30394248,severity,0.1238,
PMID_27426423,human_delay,-13.4,days
PMID_27426423,human_delay,5.9,days
PMID_27426423,human_delay,34.9,days
PMID_27426423,human_delay,,
PMID_27426423,severity,0.0,
PMID_27426423,severity,0.8384615384615385,
PMID_29892209,severity,0.2043,
PMID_28082362,human_delay,6.6,days
PMID_28082362,human_delay,11.9,days
PMID_28082362,human_delay,5.3,days
PMID_28082362,human_delay,9.2,days
PMID_28082362,human_delay,15.6,days
PMID_28082362,human_delay,19.5,days
PMID_28082362,relative_contribution,0.33,
PMID_28082362,relative_contribution,0.1,
PMID_31423971,attack_rate,,
PMID_31423971,seroprevalence,0.889,
PMID_31423971,seroprevalence,0.222,
PMID_31423971,severity,0.5789473684210527,
PMID_28516865,attack_rate,,
PMID_28516865,human_delay,,
PMID_28516865,severity,,
PMID_27433381,growth_rate,0.2,per_day
DOI_c444321ebfa7,human_delay,7.0,days
DOI_c444321ebfa7,human_delay,5.0,days
DOI_c444321ebfa7,human_delay,21.0,days
DOI_c444321ebfa7,human_delay,18.0,days
DOI_c444321ebfa7,human_delay,8.0,days
PMID_25356657,reproduction_number,,
PMID_27890674,severity,0.329365,
PMID_27890674,severity,,
PMID_27812197,relative_contribution,0.1,
PMID_27812197,relative_contribution,1.0,
PMID_27812197,relative_contribution,0.95,
PMID_27812197,severity,0.64,
PMID_27812197,severity,0.2252252252252252,
PMID_31347336,severity,0.2,
PMID_30595141,attack_rate,1.5,percentage
PMID_30595141,attack_rate,0.3,percentage
PMID_30595141,attack_rate,0.0,percentage
PMID_30595141,seroprevalence,,
PMID_27302191,severity,0.4722,
PMID_27302191,severity,0.4713,
PMID_27302191,severity,0.8851,
PMID_29854034,relative_contribution,0.233,
PMID_29854034,relative_contribution,0.1174,
PMID_29854034,relative_contribution,0.1051,
PMID_29854034,severity,,
PMID_26930074,human_delay,,
PMID_26930074,severity,0.3696,
