title,article_id,ai4epi_fulltext_decision
SARS and MERS: recent insights into emerging coronaviruses,PMID_27344959,EXCLUDE
Origin and evolution of pathogenic coronaviruses,PMID_30531947,EXCLUDE
Prophylactic and therapeutic remdesivir (GS-5734) treatment in the rhesus macaque model of MERS-CoV infection,PMID_32054787,EXCLUDE
"From SARS to MERS, Thrusting Coronaviruses into the Spotlight",PMID_30646565,EXCLUDE
"Potential Maternal and Infant Outcomes from Coronavirus 2019-nCoV (SARS-CoV-2) Infecting Pregnant Women: Lessons from SARS, MERS, and Other Human Coronavirus Infections",PMID_32050635,EXCLUDE
World Health Organization declares global emergency: A review of the 2019 novel coronavirus (COVID-19),PMID_32112977,EXCLUDE
"Hospital-Associated Outbreak of Middle East Respiratory Syndrome Coronavirus: A Serologic, Epidemiologic, and Clinical Description",PMID_24829216,INCLUDE
Treatment With Lopinavir/Ritonavir or Interferon-β1b Improves Outcome of MERS-CoV Infection in a Nonhuman Primate Model of Common Marmoset,PMID_26198719,EXCLUDE
Middle East Respiratory Syndrome Coronavirus Transmission,PMID_31961300,EXCLUDE
Immune responses in COVID-19 and potential vaccines: Lessons learned from SARS and MERS epidemic,PMID_32105090,EXCLUDE
Coronavirus Infections in Children Including COVID-19,PMID_32310621,EXCLUDE
"Risk Factors for Primary Middle East Respiratory Syndrome Coronavirus Illness in Humans, Saudi Arabia, 2014",PMID_26692185,INCLUDE
"Healthcare Workers Emotions, Perceived Stressors and Coping Strategies During a MERS-CoV Outbreak",PMID_26847480,INCLUDE
Middle East respiratory syndrome: what we learned from the 2015 outbreak in the Republic of Korea,PMID_29506344,EXCLUDE
Further Evidence for Bats as the Evolutionary Source of Middle East Respiratory Syndrome Coronavirus,PMID_28377531,EXCLUDE
Middle East respiratory syndrome,PMID_32145185,EXCLUDE
Unique epidemiological and clinical features of the emerging 2019 novel coronavirus pneumonia (COVID‐19) implicate special control measures,PMID_32134116,EXCLUDE
Reverse genetics with a full-length infectious cDNA of the Middle East respiratory syndrome coronavirus,PMID_24043791,EXCLUDE
Rapid generation of a mouse model for Middle East respiratory syndrome,PMID_24599590,EXCLUDE
Pandemics Throughout History,PMID_33584597,EXCLUDE
Clinical and Epidemiologic Characteristics of Spreaders of Middle East Respiratory Syndrome Coronavirus during the 2015 Outbreak in Korea,PMID_28378546,INCLUDE
"Virology, Epidemiology, Pathogenesis, and Control of COVID-19",PMID_32230900,EXCLUDE
Zoonotic origins of human coronaviruses,PMID_32226286,EXCLUDE
Generation of a Transgenic Mouse Model of Middle East Respiratory Syndrome Coronavirus Infection and Disease,PMID_25589660,EXCLUDE
Comorbid diabetes results in immune dysregulation and enhanced disease severity following MERS-CoV infection,PMID_31550243,EXCLUDE
The psychological impact of COVID-19 pandemic on health care workers in a MERS-CoV endemic country,PMID_32505461,INCLUDE
Epidemic Models of Contact Tracing: Systematic Review of Transmission Studies of Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome,PMID_30809323,EXCLUDE
Two Mutations Were Critical for Bat-to-Human Transmission of Middle East Respiratory Syndrome Coronavirus,PMID_26063432,EXCLUDE
"Middle East respiratory syndrome coronavirus (MERS-CoV) outbreak in South Korea, 2015: epidemiology, characteristics and public health implications",PMID_28153558,INCLUDE
Structural basis of SARS-CoV-2 3CLpro and anti-COVID-19 drug discovery from medicinal plants,PMID_32296570,EXCLUDE
"Middle East Respiratory Syndrome Coronavirus Outbreak in the Republic of Korea, 2015",PMID_26473095,INCLUDE
"Middle East respiratory syndrome coronavirus: transmission, virology and therapeutic targeting to aid in outbreak control",PMID_26315600,EXCLUDE
Transmission scenarios for Middle East Respiratory Syndrome Coronavirus (MERS-CoV) and how to tell them apart,PMID_23787162,INCLUDE
Coronavirus Susceptibility to the Antiviral Remdesivir (GS-5734) Is Mediated by the Viral Polymerase and the Proofreading Exoribonuclease,PMID_29511076,EXCLUDE
Structural insights into coronavirus entry,PMID_31522710,EXCLUDE
MERS transmission and risk factors: a systematic review,PMID_29716568,EXCLUDE
Transmission of SARS and MERS coronaviruses and influenza virus in healthcare settings: the possible role of dry surface contamination,PMID_26597631,EXCLUDE
"Transmission of Middle East Respiratory Syndrome Coronavirus Infections in Healthcare Settings, Abu Dhabi",PMID_26981708,INCLUDE
Middle East Respiratory Syndrome Coronavirus: Another Zoonotic Betacoronavirus Causing SARS-Like Disease,PMID_25810418,EXCLUDE
Does SARS‐CoV‐2 has a longer incubation period than SARS and MERS?,PMID_32056235,INCLUDE
Factors Influencing Emergency Nurses' Burnout During an Outbreak of Middle East Respiratory Syndrome Coronavirus in Korea,PMID_28057317,INCLUDE
2015 Middle East Respiratory Syndrome Coronavirus (MERS-CoV) nosocomial outbreak in South Korea: insights from modeling,PMID_26713252,INCLUDE
2014 MERS-CoV Outbreak in Jeddah — A Link to Health Care Facilities,PMID_25714162,INCLUDE
"Epidemiology, virology, and clinical features of severe acute respiratory syndrome -coronavirus-2 (SARS-CoV-2; Coronavirus Disease-19)",PMID_32252141,EXCLUDE
Spread of Mutant Middle East Respiratory Syndrome Coronavirus with Reduced Affinity to Human CD26 during the South Korean Outbreak,PMID_26933050,INCLUDE
"Human Infection with MERS Coronavirus after Exposure to Infected Camels, Saudi Arabia, 2013",PMID_24857749,EXCLUDE
Composition and divergence of coronavirus spike proteins and host ACE2 receptors predict potential intermediate hosts of SARS‐CoV‐2,PMID_32100877,EXCLUDE
Middle East respiratory syndrome coronavirus (MERS-CoV) causes transient lower respiratory tract infection in rhesus macaques,PMID_24062443,EXCLUDE
A study of the probable transmission routes of MERS-CoV during the first hospital outbreak in the Republic of Korea,PMID_28960494,INCLUDE
The pattern of Middle East respiratory syndrome coronavirus in Saudi Arabia: a descriptive epidemiological analysis of data from the Saudi Ministry of Health,PMID_25187734,INCLUDE
Structure of MERS-CoV spike receptor-binding domain complexed with human receptor DPP4,PMID_23835475,EXCLUDE
Subunit Vaccines Against Emerging Pathogenic Human Coronaviruses,PMID_32265848,EXCLUDE
MERS-CoV spillover at the camel-human interface,PMID_29336306,INCLUDE
"MERS coronavirus: diagnostics, epidemiology and transmission",PMID_26695637,EXCLUDE
Risk Factors for Middle East Respiratory Syndrome Coronavirus Infection among Healthcare Personnel,PMID_27767011,INCLUDE
"Coronavirus infections: Epidemiological, clinical and immunological features and hypotheses",PMID_32292881,EXCLUDE
Psychological impact of the 2015 MERS outbreak on hospital workers and quarantined hemodialysis patients,PMID_30343247,INCLUDE
Identification of human neutralizing antibodies against MERS-CoV and their role in virus adaptive evolution,PMID_24778221,INCLUDE
Comparative epidemiology of Middle East respiratory syndrome coronavirus (MERS-CoV) in Saudi Arabia and South Korea,PMID_28588290,INCLUDE
Unraveling the drivers of MERS-CoV transmission,PMID_27457935,INCLUDE
"MERS, SARS and other coronaviruses as causes of pneumonia",PMID_29052924,EXCLUDE
Analysis of intrapatient heterogeneity uncovers the microevolution of Middle East respiratory syndrome coronavirus,PMID_27900364,INCLUDE
Ca <sup>2+</sup> Ions Promote Fusion of Middle East Respiratory Syndrome Coronavirus with Host Cells and Increase Infectivity,PMID_32295925,EXCLUDE
"Clinicopathologic, Immunohistochemical, and Ultrastructural Findings of a Fatal Case of Middle East Respiratory Syndrome Coronavirus Infection in the United Arab Emirates, April 2014",PMID_26857507,EXCLUDE
Bat origin of human coronaviruses,PMID_26689940,EXCLUDE
"Family Cluster of Middle East Respiratory Syndrome Coronavirus Infections, Tunisia, 2013",PMID_25148113,EXCLUDE
"Middle East Respiratory Syndrome Coronavirus Superspreading Event Involving 81 Persons, Korea 2015",PMID_26539018,INCLUDE
COVID‐19 diagnosis and management: a comprehensive review,PMID_32348588,EXCLUDE
"Coronavirus (COVID-19): A Review of Clinical Features, Diagnosis, and Treatment",PMID_32328367,EXCLUDE
"Recent Aspects on the Pathogenesis Mechanism, Animal Models and Novel Therapeutic Interventions for Middle East Respiratory Syndrome Coronavirus Infections",PMID_30984127,EXCLUDE
"COVID-19: A Review on the Novel Coronavirus Disease Evolution, Transmission, Detection, Control and Prevention",PMID_33572857,EXCLUDE
Screening of an FDA-Approved Compound Library Identifies Four Small-Molecule Inhibitors of Middle East Respiratory Syndrome Coronavirus Replication in Cell Culture,PMID_24841269,EXCLUDE
"COVID-19, cytokines and immunosuppression: what can we learn from severe acute respiratory syndrome?",PMID_32202240,EXCLUDE
A family cluster of Middle East Respiratory Syndrome Coronavirus infections related to a likely unrecognized asymptomatic or mild case,PMID_23916548,EXCLUDE
Pre- and postexposure efficacy of fully human antibodies against Spike protein in a novel humanized mouse model of MERS-CoV infection,PMID_26124093,EXCLUDE
Insights into the Recent 2019 Novel Coronavirus (SARS-CoV-2) in Light of Past Human Coronavirus Outbreaks,PMID_32143502,EXCLUDE
The hallmarks of COVID-19 disease,PMID_32442210,EXCLUDE
Coronaviruses: An Overview of Their Replication and Pathogenesis,PMID_25720466,EXCLUDE
Middle East respiratory syndrome coronavirus: epidemiology and disease control measures,PMID_25395865,EXCLUDE
MERS-CoV outbreak following a single patient exposure in an emergency room in South Korea: an epidemiological outbreak study,PMID_27402381,INCLUDE
Ribavirin and interferon therapy in patients infected with the Middle East respiratory syndrome coronavirus: an observational study,PMID_24406736,EXCLUDE
Animal models of Middle East respiratory syndrome coronavirus infection,PMID_26192750,EXCLUDE
Perspectives on monoclonal antibody therapy as potential therapeutic intervention for Coronavirus disease-19 (COVID-19),PMID_32134278,EXCLUDE
Epidemic and Emerging Coronaviruses (Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome),PMID_28159163,EXCLUDE
"Comparative Review of SARS-CoV-2, SARS-CoV, MERS-CoV, and Influenza A Respiratory Viruses",PMID_33013925,EXCLUDE
Middle East Respiratory Syndrome Coronavirus (MERS-CoV),DOI_eb3a96bc3768,EXCLUDE
Lack of Middle East Respiratory Syndrome Coronavirus Transmission from Infected Camels,PMID_25811546,INCLUDE
A systematic review of SARS-CoV-2 vaccine candidates,PMID_33051445,EXCLUDE
Receptor usage and cell entry of bat coronavirus HKU4 provide insight into bat-to-human transmission of MERS coronavirus,PMID_25114257,EXCLUDE
Estimating the Unreported Number of Novel Coronavirus (2019-nCoV) Cases in China in the First Half of January 2020: A Data-Driven Modelling Analysis of the Early Outbreak,PMID_32024089,EXCLUDE
2015 MERS outbreak in Korea: hospital-to-hospital transmission,PMID_26212508,EXCLUDE
