article_id,outbreak_country,outbreak_start_year,cases_confirmed
PMID_16494748,India,2001.0,
PMID_19751584,Bangladesh,2001.0,59.0
PMID_18214175,Bangladesh,2004.0,23.0
PMID_17326940,Bangladesh,2004.0,2.0
PMID_17326940,Malaysia,,283.0
PMID_23347678,Bangladesh,2010.0,5.0
PMID_26122675,Bangladesh,2010.0,10.0
PMID_26122675,Bangladesh,2010.0,2.0
PMID_26122675,Bangladesh,2010.0,1.0
PMID_26122675,Bangladesh,2010.0,4.0
PMID_26122675,Bangladesh,2010.0,6.0
DOI_b906f8bb5104,Bangladesh,2001.0,4.0
DOI_b906f8bb5104,Bangladesh,2003.0,4.0
PMID_12466131,Malaysia,1998.0,
PMID_12466131,Singapore,1998.0,
PMID_18826814,Bangladesh,2004.0,4.0
PMID_31067370,Bangladesh,2001.0,141.0
PMID_22304936,Bangladesh,2008.0,5.0
PMID_22304936,Bangladesh,2009.0,12.0
PMID_37756301,Bangladesh,2001.0,241.0
PMID_37756301,Bangladesh,2001.0,
PMID_11858542,Malaysia,1998.0,91.0
PMID_16318702,Malaysia,1998.0,
PMID_16318702,Bangladesh,2004.0,48.0
PMID_16318702,Bangladesh,2004.0,
PMID_21524339,Malaysia,2004.0,1.0
PMID_26981928,Bangladesh,2011.0,3.0
PMID_26981928,Bangladesh,2012.0,1.0
PMID_26981928,Bangladesh,2014.0,2.0
PMID_28820130,India,,66.0
PMID_29260663,India,,
PMID_29260663,Bangladesh,2013.0,12.0
PMID_32321607,India,,23.0
PMID_32321607,India,2019.0,1.0
PMID_30274453,Malaysia,1998.0,265.0
PMID_25342551,Bangladesh,2007.0,
PMID_25342551,Bangladesh,2010.0,
PMID_25342551,Bangladesh,2011.0,
PMID_25342551,Bangladesh,2011.0,
PMID_25342551,Bangladesh,2007.0,1.0
PMID_25342551,Bangladesh,2008.0,1.0
PMID_25342551,Bangladesh,2009.0,4.0
PMID_25342551,Bangladesh,2010.0,8.0
PMID_25342551,Bangladesh,2011.0,9.0
PMID_31408582,Malaysia,1998.0,
PMID_31408582,Singapore,1998.0,
PMID_31408582,India,2018.0,18.0
PMID_21632614,Malaysia,1998.0,
PMID_21632614,Malaysia,1997.0,6.0
DOI_325d66e3cbe7,Malaysia,1998.0,
DOI_325d66e3cbe7,Singapore,1998.0,
DOI_325d66e3cbe7,Bangladesh,2023.0,
DOI_325d66e3cbe7,India,2001.0,
DOI_325d66e3cbe7,India,,
DOI_325d66e3cbe7,India,2018.0,
DOI_325d66e3cbe7,India,2019.0,
DOI_325d66e3cbe7,India,2021.0,
PMID_11732410,Malaysia,1998.0,265.0
PMID_11895096,Malaysia,1998.0,
PMID_15663869,Malaysia,1998.0,
PMID_15663869,Malaysia,,
PMID_31002050,India,2018.0,18.0
DOI_9072f43b7e46,India,2001.0,
PMID_31747016,Bangladesh,,10.0
PMID_31747016,Bangladesh,,2.0
PMID_31747016,Bangladesh,,1.0
PMID_31747016,Bangladesh,,4.0
PMID_31747016,Bangladesh,,6.0
PMID_34018957,India,2018.0,23.0
PMID_38086402,Democratic Republic of the Congo,2017.0,5.0
PMID_38086402,Bangladesh,2004.0,23.0
DOI_5964492bc21a,India,2018.0,23.0
DOI_404dc82c90c8,India,2019.0,1.0
PMID_19559943,Bangladesh,2001.0,
PMID_25626011,Philippines,2014.0,
PMID_23472057,United States of America,2011.0,12.0
PMID_23472057,United States of America,2012.0,307.0
PMID_23472057,Bangladesh,2001.0,122.0
PMID_23472057,Dominican Republic,2010.0,59.0
PMID_16022778,Cambodia,2000.0,47.0
PMID_16022778,Cambodia,2004.0,2.0
PMID_32115627,Bangladesh,2010.0,96.0
PMID_39777153,India,2001.0,
PMID_39777153,India,2007.0,
PMID_39777153,India,2018.0,
PMID_39777153,India,2019.0,
PMID_39777153,India,2021.0,
PMID_39777153,India,2023.0,
PMID_39777153,India,2024.0,
DOI_63b8b5e856fd,India,2018.0,18.0
DOI_d9d73596d2fb,Australia,1994.0,
DOI_4ae3ccd6bd7f,Pakistan,2023.0,80.0
DOI_fb923c8812dd,India,2001.0,
DOI_fb923c8812dd,India,2018.0,
DOI_fb923c8812dd,India,2019.0,1.0
DOI_fb923c8812dd,India,2023.0,11.0
PMID_21029540,Australia,1994.0,3.0
PMID_21029540,Australia,1994.0,22.0
PMID_21029540,Australia,1999.0,1.0
PMID_21029540,Australia,2004.0,2.0
PMID_21029540,Australia,2004.0,1.0
PMID_21029540,Australia,2006.0,1.0
PMID_21029540,Australia,2006.0,1.0
PMID_21029540,Australia,2007.0,1.0
PMID_21029540,Australia,2007.0,1.0
PMID_21029540,Australia,2008.0,7.0
PMID_21029540,Australia,2008.0,3.0
PMID_21029540,Australia,2009.0,4.0
PMID_21029540,Australia,2009.0,3.0
PMID_21029540,Australia,2010.0,1.0
DOI_6998fae64937,Bangladesh,2012.0,17.0
DOI_23a94c18b2aa,India,2018.0,15.0
DOI_032509b7f974,India,2001.0,66.0
DOI_032509b7f974,India,2007.0,5.0
DOI_032509b7f974,India,2018.0,19.0
DOI_032509b7f974,India,2019.0,1.0
DOI_b25045865362,Malaysia,1998.0,265.0
DOI_b25045865362,Singapore,1999.0,11.0
DOI_b25045865362,India,2001.0,66.0
DOI_b25045865362,India,2007.0,5.0
DOI_b25045865362,India,2018.0,19.0
DOI_b25045865362,India,2019.0,1.0
DOI_b25045865362,Bangladesh,2004.0,42.0
DOI_b25045865362,Philippines,2014.0,17.0
DOI_77a3422ce9ef,Bangladesh,2004.0,
