article_id,parameter_class,value,unit
PMID_19751584,human_delay,9.0,days
PMID_19751584,relative_contribution,0.51,
PMID_19751584,seroprevalence,0.11,
PMID_19751584,severity,0.71,
PMID_18214175,attack_rate,80.0,percentage
PMID_18214175,human_delay,,
PMID_18214175,relative_contribution,0.92,
PMID_18214175,seroprevalence,0.0,
PMID_18214175,severity,0.75,
PMID_18214175,severity,0.4,
PMID_18214175,severity,0.0,
PMID_18214175,severity,1.0,
PMID_17326940,human_delay,5.0,days
PMID_17326940,seroprevalence,0.67,
PMID_17326940,seroprevalence,0.0,
PMID_17326940,seroprevalence,0.0,
PMID_17326940,severity,0.917,
PMID_17326940,severity,0.385,
PMID_23347678,human_delay,,
PMID_23347678,seroprevalence,0.12,
PMID_23347678,severity,0.73,
PMID_23347678,severity,0.875,
PMID_23347678,severity,1.0,
PMID_23347678,severity,0.75,
PMID_26122675,human_delay,,
PMID_26122675,severity,0.8837209302325582,
PMID_26122675,severity,0.8,
DOI_b906f8bb5104,human_delay,6.0,days
DOI_b906f8bb5104,severity,0.69,
DOI_b906f8bb5104,severity,0.4,
DOI_b906f8bb5104,severity,0.09,
PMID_12466131,seroprevalence,0.94,
PMID_12466131,seroprevalence,0.94,
PMID_18826814,human_delay,,
PMID_18826814,seroprevalence,,
PMID_18826814,severity,0.83,
PMID_31067370,attack_rate,1.4,percentage
PMID_31067370,attack_rate,0.9,percentage
PMID_31067370,attack_rate,,
PMID_31067370,human_delay,13.0,days
PMID_31067370,human_delay,6.0,days
PMID_31067370,human_delay,4.0,days
PMID_31067370,relative_contribution,0.33,
PMID_31067370,reproduction_number,,
PMID_31067370,severity,0.7774193548387096,
PMID_37756301,relative_contribution,0.29,
PMID_37756301,relative_contribution,,
PMID_11858542,human_delay,10.0,days
PMID_11858542,human_delay,16.0,days
PMID_11858542,human_delay,,
PMID_11858542,seroprevalence,0.91,
PMID_11858542,seroprevalence,0.31,
PMID_11858542,severity,0.41,
PMID_11858542,severity,,
PMID_21524339,seroprevalence,0.74,
PMID_21524339,seroprevalence,1.0,
PMID_21524339,seroprevalence,1.0,
PMID_25342551,attack_rate,22.0,percentage
PMID_25342551,reproduction_number,0.75,
PMID_25342551,seroprevalence,0.22,
PMID_25342551,severity,0.87,
PMID_25342551,severity,0.1762602040816326,
PMID_33139552,reproduction_number,2.1,
PMID_33139552,seroprevalence,,
PMID_31408582,mutation_rate,0.0011,substitutions_per_site_per_year
PMID_31408582,mutation_rate,0.0065,substitutions_per_site_per_year
PMID_25405640,attack_rate,48.0,percentage
PMID_25405640,attack_rate,,
PMID_25405640,seroprevalence,0.031,
PMID_25405640,seroprevalence,0.041,
PMID_21632614,seroprevalence,0.175,
PMID_21632614,seroprevalence,0.46,
PMID_23389893,severity,0.7,
PMID_11732410,attack_rate,90.0,percentage
PMID_11732410,severity,0.9,
PMID_11732410,severity,0.1,
PMID_11895096,human_delay,3.3,days
PMID_11895096,human_delay,9.5,days
PMID_11895096,seroprevalence,0.94,
PMID_11895096,seroprevalence,0.94,
PMID_11895096,seroprevalence,0.64,
PMID_11895096,seroprevalence,,
PMID_31002050,attack_rate,1.08,percentage
PMID_31002050,attack_rate,4.4,percentage
PMID_31002050,attack_rate,0.0,percentage
PMID_31002050,attack_rate,3.0,rate
PMID_31002050,seroprevalence,0.0108,
PMID_31002050,seroprevalence,0.044,
PMID_31002050,seroprevalence,0.0,
PMID_31002050,severity,0.889,
PMID_31002050,severity,,
PMID_35705986,human_delay,5.56,days
PMID_35705986,human_delay,2.88,days
PMID_35705986,human_delay,11.31,days
PMID_35705986,reproduction_number,0.063,
PMID_35705986,reproduction_number,0.583,
PMID_35705986,reproduction_number,0.33,
PMID_35705986,reproduction_number,0.325,
DOI_9072f43b7e46,human_delay,10.0,days
DOI_9072f43b7e46,seroprevalence,0.529,
DOI_9072f43b7e46,seroprevalence,0.588,
PMID_31747016,human_delay,6.0,days
PMID_31747016,human_delay,10.5,days
PMID_31747016,severity,,
PMID_38969474,relative_contribution,0.69,
PMID_38969474,severity,0.55,
PMID_38086402,human_delay,15.3,days
PMID_22227101,attack_rate,,
PMID_22227101,seroprevalence,0.33,
PMID_22227101,seroprevalence,0.33,
PMID_22227101,seroprevalence,0.67,
PMID_22227101,seroprevalence,0.25,
PMID_22227101,seroprevalence,0.083,
PMID_27788234,human_delay,9.0,days
PMID_27788234,severity,,
PMID_36119301,attack_rate,0.0,percentage
PMID_36119301,attack_rate,4.6,percentage
PMID_36119301,attack_rate,11.0,percentage
PMID_36119301,attack_rate,1.0,percentage
PMID_36119301,attack_rate,15.0,percentage
PMID_36119301,human_delay,108.0,days
PMID_36119301,human_delay,89.0,days
PMID_36119301,seroprevalence,0.0,
PMID_36119301,seroprevalence,0.0,
PMID_23472057,relative_contribution,0.5,
PMID_23472057,relative_contribution,0.5,
PMID_23472057,relative_contribution,,
PMID_23472057,reproduction_number,0.74,
PMID_23472057,reproduction_number,0.31,
PMID_23472057,reproduction_number,0.6,
PMID_23472057,reproduction_number,0.28,
PMID_23472057,reproduction_number,,
PMID_16022778,attack_rate,99.0,percentage
PMID_18648649,reproduction_number,1.6,
PMID_18648649,seroprevalence,0.22,
PMID_18648649,seroprevalence,0.0,
PMID_18648649,seroprevalence,,
PMID_32115627,human_delay,3.0,days
PMID_32115627,human_delay,2.0,days
PMID_32115627,severity,0.851,
PMID_39777153,seroprevalence,0.629,
PMID_39777153,seroprevalence,0.2813,
PMID_31401962,reproduction_number,3.0,
PMID_31401962,reproduction_number,112.3,
DOI_d9d73596d2fb,severity,0.57,
DOI_d9d73596d2fb,severity,0.75,
PMID_39194145,human_delay,7.0,days
PMID_39194145,human_delay,11.0,days
PMID_39194145,human_delay,249.0,days
PMID_39194145,human_delay,3.0,other
PMID_39194145,human_delay,8.0,other
PMID_32773899,seroprevalence,0.0,
DOI_77a3422ce9ef,severity,0.17,
