title,article_id,year
Nipah virus outbreak in Malaysia,PMID_12637075,2003
"Nipah Virus-associated Encephalitis Outbreak, Siliguri, India",PMID_16494748,2006
"Recurrent Zoonotic Transmission of Nipah Virus into Humans, Bangladesh, 2001–2007",PMID_19751584,2009
Person-to-Person Transmission of Nipah Virus in a Bangladeshi Community,PMID_18214175,2007
"Case‐Control Study of Risk Factors for Human Infection with a New Zoonotic Paramyxovirus, Nipah Virus, during a 1998–1999 Outbreak of Severe Encephalitis in Malaysia",PMID_10823779,2000
A Neutralizing Human Monoclonal Antibody Protects against Lethal Disease in a New Ferret Model of Acute Nipah Virus Infection,DOI_243edb99f3d1,2009
The pandemic potential of Nipah virus,PMID_23911335,2013
"Foodborne Transmission of Nipah Virus, Bangladesh",PMID_17326940,2006
Nipah Virus: Past Outbreaks and Future Containment,PMID_32325930,2020
Nipah Virus Transmission in a Hamster Model,PMID_22180802,2011
A Golden Hamster Model for Human Acute Nipah Virus Infection,PMID_14578210,2003
Development of an Acute and Highly Pathogenic Nonhuman Primate Model of Nipah Virus Infection,PMID_20502528,2010
Transmission of Human Infection with Nipah Virus,PMID_19886791,2009
Animal models of disease shed light on Nipah virus pathogenesis and transmission,PMID_25229234,2014
Nipah Virus: A Recently Emergent Deadly Paramyxovirus,PMID_10827955,2000
"Nipah Virus Infection Outbreak with Nosocomial and Corpse-to-Human Transmission, Bangladesh",PMID_23347678,2013
Evolving epidemiology of Nipah virus infection in Bangladesh: evidence from outbreaks during 2010–2011,PMID_26122675,2015
Combined chloroquine and ribavirin treatment does not prevent death in a hamster model of Nipah and Hendra virus infection,PMID_19889926,2009
Nipah Virus: Vaccination and Passive Protection Studies in a Hamster Model,PMID_14694115,2003
"Nipah virus outbreak with person-to-person transmission in a district of Bangladesh, 2007",PMID_20380769,2010
Foodborne Transmission of Nipah Virus in Syrian Hamsters,PMID_24626480,2014
Nipah Virus Encephalitis Outbreak in Malaysia,PMID_11938496,2002
"Date Palm Sap Linked to Nipah Virus Outbreak in Bangladesh, 2008",PMID_21923274,2011
Nipah virus outbreaks in Bangladesh: a deadly infectious disease,PMID_28612796,2012
Risk Factors for Nipah Virus Infection among Abattoir Workers in Singapore,PMID_10823780,2000
"Nipah Virus Encephalitis Reemergence, Bangladesh",DOI_b906f8bb5104,2004
Nipah Virus Infection,PMID_12466131,2002
"Nipah virus: epidemiology, pathology, immunobiology and advances in diagnosis, vaccine designing and control strategies – a comprehensive review",PMID_31006350,2019
Lessons from the Nipah virus outbreak in Malaysia,PMID_19108397,2007
"A Cohort Study of Health Care Workers to Assess Nosocomial Transmissibility of Nipah Virus, Malaysia, 1999",PMID_11181159,2001
Feline Model of Acute Nipah Virus Infection and Protection with a Soluble Glycoprotein-Based Subunit Vaccine,PMID_17005664,2006
Nosocomial Transmissibility of Nipah Virus,PMID_11679933,2001
Risk Factors for Nipah Virus Encephalitis in Bangladesh1,PMID_18826814,2008
Transmission of Nipah Virus — 14 Years of Investigations in Bangladesh,PMID_31067370,2019
Ecological dynamics of emerging bat virus spillover,PMID_25392474,2014
"Evolution of Nipah Virus Infection: Past, Present, and Future Considerations",PMID_33672796,2021
"Characterization of Nipah Virus from Outbreaks in Bangladesh, 2008–2010",PMID_22304936,2012
Outbreak of Nipah-virus infection among abattoir workers in Singapore,PMID_10520634,1999
Mutation of YMYL in the Nipah Virus Matrix Protein Abrogates Budding and Alters Subcellular Localization,PMID_17005661,2006
Nipah virus: transmission of a zoonotic paramyxovirus,PMID_28088124,2017
"Tackling a global epidemic threat: Nipah surveillance in Bangladesh, 2006–2021",PMID_37756301,2023
Nipah and Hendra Viruses: Deadly Zoonotic Paramyxoviruses with the Potential to Cause the Next Pandemic,PMID_36558753,2022
"Pandemics: Risks, Impacts, and Mitigation",DOI_bb6e182a894d,2017
Clinical Features of Nipah Virus Encephalitis among Pig Farmers in Malaysia,PMID_10781618,2000
"Nipah Virus Outbreak in Kerala State, India Amidst of COVID-19 Pandemic",PMID_35252095,2022
"Phylogeography, Transmission, and Viral Proteins of Nipah Virus",PMID_30311101,2018
Transmission Routes for Nipah Virus from Malaysia and Bangladesh,PMID_23171621,2012
"Nipah encephalitis outbreak in Malaysia, clinical features in patients from Seremban",PMID_11858542,2002
"Genetic Characterization of Nipah Virus, Bangladesh, 2004",PMID_16318702,2005
"COVID-19 Epidemic in Malaysia: Epidemic Progression, Challenges, and Response",PMID_34026696,2021
A Human Lung Xenograft Mouse Model of Nipah Virus Infection,PMID_24699832,2014
Breakdown of a Nonlinear Stochastic Nipah Virus Epidemic Models through Efficient Numerical Methods,PMID_34945894,2021
Nipah virus infection: A review,PMID_30869046,2019
"Nipah Virus Sequences from Humans and Bats during Nipah Outbreak, Kerala, India, 2018",PMID_31002049,2019
"Outbreak Investigation of Nipah Virus Disease in Kerala, India, 2018",PMID_30364984,2018
Nipah virus epidemic in southern India and emphasizing “One Health” approach to ensure global health security,DOI_ea51bfe1e5ad,2018
Evidence for Nipah virus recrudescence and serological patterns of captive <i>Pteropus vampyrus</i>,PMID_21524339,2011
In-Depth Assessment of an Outbreak of Nipah Encephalitis with Person-to-Person Transmission in Bangladesh: Implications for Prevention and Control Strategies,PMID_19141846,2009
"Clinico‐epidemiological presentations and management of Nipah virus infection during the outbreak in Kozhikode district, Kerala state, India 2023",PMID_38529536,2024
"Nipah Virus Transmission from Bats to Humans Associated with Drinking Traditional Liquor Made from Date Palm Sap, Bangladesh, 2011–2014",PMID_26981928,2016
"Convergence of Humans, Bats, Trees, and Culture in Nipah Virus Transmission, Bangladesh",PMID_28820130,2017
Enhancing preparation for large Nipah outbreaks beyond Bangladesh: Preventing a tragedy like Ebola in West Africa,PMID_29879523,2018
"Nipah Virus Contamination of Hospital Surfaces during Outbreaks, Bangladesh, 2013–2014",PMID_29260663,2017
Emerging trends of Nipah virus: A review,PMID_30251294,2018
A Mathematical Model for Nipah Virus Infection,DOI_e8ee8be432bc,2020
Pteropid Bats are Confirmed as the Reservoir Hosts of Henipaviruses: A Comprehensive Experimental Study of Virus Transmission,PMID_22049055,2011
Nipah virus infection of pigs in peninsular Malaysia,PMID_11189713,2000
Isolation of Nipah virus from Malaysian Island flying-foxes,PMID_11880045,2002
A stochastic assembly model for Nipah virus revealed by super-resolution microscopy,PMID_30076303,2018
Nipah Encephalitis Outbreak in Malaysia,PMID_12625108,2003
Transmission or Within-Host Dynamics Driving Pulses of Zoonotic Viruses in Reservoir–Host Populations,PMID_27489944,2016
Poly(I)-Poly(C <sub>12</sub> U) but Not Ribavirin Prevents Death in a Hamster Model of Nipah Virus Infection,PMID_16641448,2006
Perspectives on monoclonal antibody therapy as potential therapeutic intervention for Coronavirus disease-19 (COVID-19),PMID_32134278,2020
"Characterization of Nipah Virus from Naturally Infected<i>Pteropus vampyrus</i>Bats, Malaysia",PMID_21122240,2010
"Nipah Virus Disease: Epidemiological, Clinical, Diagnostic and Legislative Aspects of This Unpredictable Emerging Zoonosis",PMID_36611767,2022
Use of Infrared Camera to Understand Bats’ Access to Date Palm Sap: Implications for Preventing Nipah Virus Transmission,PMID_21207105,2010
Case fatality rate and risk factors for Nipah virus encephalitis: A systematic review and meta-analysis,PMID_31132674,2019
Nipah virus infection: current scenario,DOI_4c9dc1a6ba94,2013
Nipah virus: An emergent paramyxovirus causing severe encephalitis in humans,PMID_16287690,2005
