title,article_id,ai4epi_abstract_decision,downloaded
"Nipah Virus-associated Encephalitis Outbreak, Siliguri, India",PMID_16494748,INCLUDE,True
"Recurrent Zoonotic Transmission of Nipah Virus into Humans, Bangladesh, 2001–2007",PMID_19751584,INCLUDE,True
Person-to-Person Transmission of Nipah Virus in a Bangladeshi Community,PMID_18214175,INCLUDE,True
A Neutralizing Human Monoclonal Antibody Protects against Lethal Disease in a New Ferret Model of Acute Nipah Virus Infection,DOI_243edb99f3d1,EXCLUDE,True
"Foodborne Transmission of Nipah Virus, Bangladesh",PMID_17326940,INCLUDE,True
Nipah Virus: Past Outbreaks and Future Containment,PMID_32325930,EXCLUDE,True
Nipah Virus Transmission in a Hamster Model,PMID_22180802,EXCLUDE,True
A Golden Hamster Model for Human Acute Nipah Virus Infection,PMID_14578210,EXCLUDE,True
Development of an Acute and Highly Pathogenic Nonhuman Primate Model of Nipah Virus Infection,PMID_20502528,EXCLUDE,True
Transmission of Human Infection with Nipah Virus,PMID_19886791,EXCLUDE,True
"Nipah Virus Infection Outbreak with Nosocomial and Corpse-to-Human Transmission, Bangladesh",PMID_23347678,INCLUDE,True
Evolving epidemiology of Nipah virus infection in Bangladesh: evidence from outbreaks during 2010–2011,PMID_26122675,INCLUDE,True
Nipah Virus: Vaccination and Passive Protection Studies in a Hamster Model,PMID_14694115,EXCLUDE,True
"Nipah virus outbreak with person-to-person transmission in a district of Bangladesh, 2007",PMID_20380769,INCLUDE,True
Foodborne Transmission of Nipah Virus in Syrian Hamsters,PMID_24626480,EXCLUDE,True
"Nipah Virus Encephalitis Reemergence, Bangladesh",DOI_b906f8bb5104,INCLUDE,True
Nipah Virus Infection,PMID_12466131,INCLUDE,True
"Nipah virus: epidemiology, pathology, immunobiology and advances in diagnosis, vaccine designing and control strategies – a comprehensive review",PMID_31006350,EXCLUDE,True
Feline Model of Acute Nipah Virus Infection and Protection with a Soluble Glycoprotein-Based Subunit Vaccine,PMID_17005664,EXCLUDE,True
Risk Factors for Nipah Virus Encephalitis in Bangladesh1,PMID_18826814,INCLUDE,True
Transmission of Nipah Virus — 14 Years of Investigations in Bangladesh,PMID_31067370,INCLUDE,True
Ecological dynamics of emerging bat virus spillover,PMID_25392474,EXCLUDE,True
"Evolution of Nipah Virus Infection: Past, Present, and Future Considerations",PMID_33672796,EXCLUDE,True
"Characterization of Nipah Virus from Outbreaks in Bangladesh, 2008–2010",PMID_22304936,INCLUDE,True
Mutation of YMYL in the Nipah Virus Matrix Protein Abrogates Budding and Alters Subcellular Localization,PMID_17005661,EXCLUDE,True
"Tackling a global epidemic threat: Nipah surveillance in Bangladesh, 2006–2021",PMID_37756301,INCLUDE,True
Nipah and Hendra Viruses: Deadly Zoonotic Paramyxoviruses with the Potential to Cause the Next Pandemic,PMID_36558753,EXCLUDE,True
"Nipah Virus Outbreak in Kerala State, India Amidst of COVID-19 Pandemic",PMID_35252095,INCLUDE,True
"Phylogeography, Transmission, and Viral Proteins of Nipah Virus",PMID_30311101,EXCLUDE,True
Transmission Routes for Nipah Virus from Malaysia and Bangladesh,PMID_23171621,EXCLUDE,True
"Nipah encephalitis outbreak in Malaysia, clinical features in patients from Seremban",PMID_11858542,INCLUDE,True
"Genetic Characterization of Nipah Virus, Bangladesh, 2004",PMID_16318702,EXCLUDE,True
"COVID-19 Epidemic in Malaysia: Epidemic Progression, Challenges, and Response",PMID_34026696,EXCLUDE,True
A Human Lung Xenograft Mouse Model of Nipah Virus Infection,PMID_24699832,EXCLUDE,True
Nipah virus infection: A review,PMID_30869046,EXCLUDE,True
"Nipah Virus Sequences from Humans and Bats during Nipah Outbreak, Kerala, India, 2018",PMID_31002049,INCLUDE,True
Evidence for Nipah virus recrudescence and serological patterns of captive <i>Pteropus vampyrus</i>,PMID_21524339,EXCLUDE,True
"Nipah Virus Transmission from Bats to Humans Associated with Drinking Traditional Liquor Made from Date Palm Sap, Bangladesh, 2011–2014",PMID_26981928,INCLUDE,True
"Convergence of Humans, Bats, Trees, and Culture in Nipah Virus Transmission, Bangladesh",PMID_28820130,EXCLUDE,True
"Nipah Virus Contamination of Hospital Surfaces during Outbreaks, Bangladesh, 2013–2014",PMID_29260663,INCLUDE,True
Emerging trends of Nipah virus: A review,PMID_30251294,EXCLUDE,True
Pteropid Bats are Confirmed as the Reservoir Hosts of Henipaviruses: A Comprehensive Experimental Study of Virus Transmission,PMID_22049055,EXCLUDE,True
A stochastic assembly model for Nipah virus revealed by super-resolution microscopy,PMID_30076303,EXCLUDE,True
Transmission or Within-Host Dynamics Driving Pulses of Zoonotic Viruses in Reservoir–Host Populations,PMID_27489944,EXCLUDE,True
Poly(I)-Poly(C <sub>12</sub> U) but Not Ribavirin Prevents Death in a Hamster Model of Nipah Virus Infection,PMID_16641448,EXCLUDE,True
Perspectives on monoclonal antibody therapy as potential therapeutic intervention for Coronavirus disease-19 (COVID-19),PMID_32134278,EXCLUDE,True
"Characterization of Nipah Virus from Naturally Infected<i>Pteropus vampyrus</i>Bats, Malaysia",PMID_21122240,EXCLUDE,True
"Nipah Virus Disease: Epidemiological, Clinical, Diagnostic and Legislative Aspects of This Unpredictable Emerging Zoonosis",PMID_36611767,EXCLUDE,True
Nipah virus infection: current scenario,DOI_4c9dc1a6ba94,EXCLUDE,True
Nipah@20: Lessons Learned from Another Virus with Pandemic Potential,PMID_32641430,EXCLUDE,True
"Hendra and Nipah Infection: Pathology, Models and Potential Therapies",PMID_21488828,EXCLUDE,True
Experiential learnings from the Nipah virus outbreaks in Kerala towards containment of infectious public health emergencies in India,PMID_32321607,INCLUDE,True
Vaccines to Emerging Viruses: Nipah and Hendra,PMID_32991264,EXCLUDE,True
The Nature of Exposure Drives Transmission of Nipah Viruses from Malaysia and Bangladesh in Ferrets,PMID_27341030,EXCLUDE,True
Mapping Disease Transmission Risk of Nipah Virus in South and Southeast Asia,PMID_30274453,INCLUDE,True
"Cluster of Nipah Virus Infection, Kushtia District, Bangladesh, 2007",PMID_21042407,INCLUDE,True
Comparison of the Pathogenicity of Nipah Virus Isolates from Bangladesh and Malaysia in the Syrian Hamster,PMID_23342177,EXCLUDE,True
Integrated cluster- and case-based surveillance for detecting stage III zoonotic pathogens: an example of Nipah virus surveillance in Bangladesh,PMID_25342551,INCLUDE,True
Detailed Analysis of the African Green Monkey Model of Nipah Virus Disease,PMID_25706617,EXCLUDE,True
"Risk Factors for Nipah Virus Infection among Pteropid Bats, Peninsular Malaysia",PMID_23261015,EXCLUDE,True
Molecular epidemiology and phylogeny of Nipah virus infection: A mini review,PMID_27393089,EXCLUDE,True
Nipah virus dynamics in bats and implications for spillover to humans,PMID_33139552,EXCLUDE,True
"Genomic Characterization of Nipah Virus, West Bengal, India",PMID_21529409,EXCLUDE,True
Characterization of Nipah virus infection in a model of human airway epithelial cells cultured at an air–liquid interface,PMID_26932515,EXCLUDE,True
The recent Nipah virus outbreak in Bangladesh could be a threat for global public health: A brief report,PMID_37448729,INCLUDE,True
Coronavirus Disease 2019–COVID-19,PMID_32580969,EXCLUDE,True
Mathematically modeling spillovers of an emerging infectious zoonosis with an intermediate host,PMID_32845922,EXCLUDE,True
"Nipah Virus Infection in Dogs, Malaysia, 1999",PMID_19523300,EXCLUDE,True
An Intranasal Exposure Model of Lethal Nipah Virus Infection in African Green Monkeys,PMID_31665362,EXCLUDE,True
