title,article_id,ai4epi_fulltext_decision
"Nipah Virus-associated Encephalitis Outbreak, Siliguri, India",PMID_16494748,INCLUDE
"Recurrent Zoonotic Transmission of Nipah Virus into Humans, Bangladesh, 2001–2007",PMID_19751584,INCLUDE
Person-to-Person Transmission of Nipah Virus in a Bangladeshi Community,PMID_18214175,INCLUDE
A Neutralizing Human Monoclonal Antibody Protects against Lethal Disease in a New Ferret Model of Acute Nipah Virus Infection,DOI_243edb99f3d1,EXCLUDE
"Foodborne Transmission of Nipah Virus, Bangladesh",PMID_17326940,INCLUDE
Nipah Virus: Past Outbreaks and Future Containment,PMID_32325930,EXCLUDE
Nipah Virus Transmission in a Hamster Model,PMID_22180802,EXCLUDE
A Golden Hamster Model for Human Acute Nipah Virus Infection,PMID_14578210,EXCLUDE
Development of an Acute and Highly Pathogenic Nonhuman Primate Model of Nipah Virus Infection,PMID_20502528,EXCLUDE
Transmission of Human Infection with Nipah Virus,PMID_19886791,EXCLUDE
"Nipah Virus Infection Outbreak with Nosocomial and Corpse-to-Human Transmission, Bangladesh",PMID_23347678,INCLUDE
Evolving epidemiology of Nipah virus infection in Bangladesh: evidence from outbreaks during 2010–2011,PMID_26122675,INCLUDE
Nipah Virus: Vaccination and Passive Protection Studies in a Hamster Model,PMID_14694115,EXCLUDE
"Nipah virus outbreak with person-to-person transmission in a district of Bangladesh, 2007",PMID_20380769,EXCLUDE
Foodborne Transmission of Nipah Virus in Syrian Hamsters,PMID_24626480,EXCLUDE
"Nipah Virus Encephalitis Reemergence, Bangladesh",DOI_b906f8bb5104,INCLUDE
Nipah Virus Infection,PMID_12466131,INCLUDE
"Nipah virus: epidemiology, pathology, immunobiology and advances in diagnosis, vaccine designing and control strategies – a comprehensive review",PMID_31006350,EXCLUDE
Feline Model of Acute Nipah Virus Infection and Protection with a Soluble Glycoprotein-Based Subunit Vaccine,PMID_17005664,EXCLUDE
Risk Factors for Nipah Virus Encephalitis in Bangladesh1,PMID_18826814,INCLUDE
Transmission of Nipah Virus — 14 Years of Investigations in Bangladesh,PMID_31067370,INCLUDE
Ecological dynamics of emerging bat virus spillover,PMID_25392474,EXCLUDE
"Evolution of Nipah Virus Infection: Past, Present, and Future Considerations",PMID_33672796,EXCLUDE
"Characterization of Nipah Virus from Outbreaks in Bangladesh, 2008–2010",PMID_22304936,INCLUDE
Mutation of YMYL in the Nipah Virus Matrix Protein Abrogates Budding and Alters Subcellular Localization,PMID_17005661,EXCLUDE
"Tackling a global epidemic threat: Nipah surveillance in Bangladesh, 2006–2021",PMID_37756301,INCLUDE
Nipah and Hendra Viruses: Deadly Zoonotic Paramyxoviruses with the Potential to Cause the Next Pandemic,PMID_36558753,EXCLUDE
"Nipah Virus Outbreak in Kerala State, India Amidst of COVID-19 Pandemic",PMID_35252095,EXCLUDE
"Phylogeography, Transmission, and Viral Proteins of Nipah Virus",PMID_30311101,EXCLUDE
Transmission Routes for Nipah Virus from Malaysia and Bangladesh,PMID_23171621,EXCLUDE
"Nipah encephalitis outbreak in Malaysia, clinical features in patients from Seremban",PMID_11858542,INCLUDE
"Genetic Characterization of Nipah Virus, Bangladesh, 2004",PMID_16318702,INCLUDE
"COVID-19 Epidemic in Malaysia: Epidemic Progression, Challenges, and Response",PMID_34026696,EXCLUDE
A Human Lung Xenograft Mouse Model of Nipah Virus Infection,PMID_24699832,EXCLUDE
Nipah virus infection: A review,PMID_30869046,EXCLUDE
"Nipah Virus Sequences from Humans and Bats during Nipah Outbreak, Kerala, India, 2018",PMID_31002049,EXCLUDE
Evidence for Nipah virus recrudescence and serological patterns of captive <i>Pteropus vampyrus</i>,PMID_21524339,INCLUDE
"Nipah Virus Transmission from Bats to Humans Associated with Drinking Traditional Liquor Made from Date Palm Sap, Bangladesh, 2011–2014",PMID_26981928,INCLUDE
"Convergence of Humans, Bats, Trees, and Culture in Nipah Virus Transmission, Bangladesh",PMID_28820130,INCLUDE
"Nipah Virus Contamination of Hospital Surfaces during Outbreaks, Bangladesh, 2013–2014",PMID_29260663,INCLUDE
Emerging trends of Nipah virus: A review,PMID_30251294,EXCLUDE
Pteropid Bats are Confirmed as the Reservoir Hosts of Henipaviruses: A Comprehensive Experimental Study of Virus Transmission,PMID_22049055,EXCLUDE
A stochastic assembly model for Nipah virus revealed by super-resolution microscopy,PMID_30076303,EXCLUDE
Transmission or Within-Host Dynamics Driving Pulses of Zoonotic Viruses in Reservoir–Host Populations,PMID_27489944,EXCLUDE
Poly(I)-Poly(C <sub>12</sub> U) but Not Ribavirin Prevents Death in a Hamster Model of Nipah Virus Infection,PMID_16641448,EXCLUDE
Perspectives on monoclonal antibody therapy as potential therapeutic intervention for Coronavirus disease-19 (COVID-19),PMID_32134278,EXCLUDE
"Characterization of Nipah Virus from Naturally Infected<i>Pteropus vampyrus</i>Bats, Malaysia",PMID_21122240,INCLUDE
"Nipah Virus Disease: Epidemiological, Clinical, Diagnostic and Legislative Aspects of This Unpredictable Emerging Zoonosis",PMID_36611767,EXCLUDE
Nipah virus infection: current scenario,DOI_4c9dc1a6ba94,EXCLUDE
Nipah@20: Lessons Learned from Another Virus with Pandemic Potential,PMID_32641430,EXCLUDE
"Hendra and Nipah Infection: Pathology, Models and Potential Therapies",PMID_21488828,EXCLUDE
Experiential learnings from the Nipah virus outbreaks in Kerala towards containment of infectious public health emergencies in India,PMID_32321607,INCLUDE
Vaccines to Emerging Viruses: Nipah and Hendra,PMID_32991264,EXCLUDE
The Nature of Exposure Drives Transmission of Nipah Viruses from Malaysia and Bangladesh in Ferrets,PMID_27341030,EXCLUDE
Mapping Disease Transmission Risk of Nipah Virus in South and Southeast Asia,PMID_30274453,INCLUDE
"Cluster of Nipah Virus Infection, Kushtia District, Bangladesh, 2007",PMID_21042407,EXCLUDE
Comparison of the Pathogenicity of Nipah Virus Isolates from Bangladesh and Malaysia in the Syrian Hamster,PMID_23342177,EXCLUDE
Integrated cluster- and case-based surveillance for detecting stage III zoonotic pathogens: an example of Nipah virus surveillance in Bangladesh,PMID_25342551,INCLUDE
"Risk Factors for Nipah Virus Infection among Pteropid Bats, Peninsular Malaysia",PMID_23261015,EXCLUDE
Molecular epidemiology and phylogeny of Nipah virus infection: A mini review,PMID_27393089,EXCLUDE
Nipah virus dynamics in bats and implications for spillover to humans,PMID_33139552,INCLUDE
"Genomic Characterization of Nipah Virus, West Bengal, India",PMID_21529409,EXCLUDE
Characterization of Nipah virus infection in a model of human airway epithelial cells cultured at an air–liquid interface,PMID_26932515,EXCLUDE
The recent Nipah virus outbreak in Bangladesh could be a threat for global public health: A brief report,PMID_37448729,EXCLUDE
Coronavirus Disease 2019–COVID-19,PMID_32580969,EXCLUDE
Mathematically modeling spillovers of an emerging infectious zoonosis with an intermediate host,PMID_32845922,EXCLUDE
"Nipah Virus Infection in Dogs, Malaysia, 1999",PMID_19523300,EXCLUDE
An Intranasal Exposure Model of Lethal Nipah Virus Infection in African Green Monkeys,PMID_31665362,EXCLUDE
Roosting behaviour and habitat selection of <i>Pteropus giganteus</i> reveal potential links to Nipah virus epidemiology,PMID_24778457,INCLUDE
Transmission of henipaviruses,PMID_29035743,EXCLUDE
Use of Single-Injection Recombinant Vesicular Stomatitis Virus Vaccine to Protect Nonhuman Primates Against Lethal Nipah Virus Disease,PMID_31107231,EXCLUDE
A short communication of Nipah virus outbreak in India: An urgent rising concern,PMID_36268453,EXCLUDE
Learning from prepandemic data to forecast viral escape,PMID_37821700,EXCLUDE
Nipah virus disease: A rare and intractable disease,PMID_30881850,EXCLUDE
Crystal Structure of the Hendra Virus Attachment G Glycoprotein Bound to a Potent Cross-Reactive Neutralizing Human Monoclonal Antibody,PMID_24130486,EXCLUDE
The Nonstructural Proteins of Nipah Virus Play a Key Role in Pathogenicity in Experimentally Infected Animals,PMID_20856799,EXCLUDE
Nipah Virus Infection,PMID_29643201,EXCLUDE
Efficient Reverse Genetics Reveals Genetic Determinants of Budding and Fusogenic Differences between Nipah and Hendra Viruses and Enables Real-Time Monitoring of Viral Spread in Small Animal Models of Henipavirus Infection,PMID_25392218,EXCLUDE
Chimpanzee adenoviral vectors as vaccines for outbreak pathogens,PMID_29083948,EXCLUDE
Structure-Based Design of Nipah Virus Vaccines: A Generalizable Approach to Paramyxovirus Immunogen Development,PMID_32595632,EXCLUDE
Taking forward a ‘One Health’ approach for turning the tide against the Middle East respiratory syndrome coronavirus and other zoonotic pathogens with epidemic potential,PMID_27321961,EXCLUDE
