article_id,parameter_class,value,unit
1048,seroprevalence,0.0,
1821,attack_rate,14.0,percentage
674,attack_rate,69.11,rate
674,attack_rate,51.02,rate
1940,attack_rate,69.0,percentage
1940,attack_rate,70.0,percentage
1940,human_delay,3.6,days
1940,reproduction_number,2.5,
6765,human_delay,11.97,days
6670,attack_rate,36.1,percentage
6670,attack_rate,0.0,percentage
1941,attack_rate,51.1,percentage
1941,seroprevalence,0.73,
7483,seroprevalence,0.357,
3039,reproduction_number,51.0,
3039,seroprevalence,0.73,
3403,reproduction_number,0.16,
7336,attack_rate,,
7336,reproduction_number,1.1,
947,attack_rate,17.0,percentage
947,reproduction_number,1.8,
6775,reproduction_number,2.7,
6775,reproduction_number,2.1,
6775,reproduction_number,2.3,
6775,reproduction_number,0.6000000000000001,
7448,attack_rate,31.4,percentage
7448,attack_rate,31.4,percentage
7448,attack_rate,16.1,percentage
1508,reproduction_number,1.81,
1508,reproduction_number,2.41,
1508,reproduction_number,2.41,
1508,reproduction_number,1.99,
1508,reproduction_number,1.99,
1508,reproduction_number,1.94,
1508,reproduction_number,0.76,
6935,human_delay,5.0,days
1954,mutation_rate,12.0,mutations_per_genome_per_year
7047,reproduction_number,1.58,
7047,seroprevalence,0.361,
5535,reproduction_number,0.201,
3098,human_delay,2.5,days
3098,seroprevalence,0.874,
3098,seroprevalence,0.91,
1461,attack_rate,39.0,percentage
1461,attack_rate,0.0,percentage
1461,seroprevalence,0.39,
1461,seroprevalence,0.215,
1461,seroprevalence,0.005,
1461,seroprevalence,0.619,
2302,seroprevalence,0.35100000000000003,
2302,seroprevalence,0.367,
2302,seroprevalence,0.245,
2302,seroprevalence,0.6880000000000001,
2302,seroprevalence,0.684,
5949,attack_rate,58.1,rate
5949,attack_rate,49.2,rate
5845,human_delay,3.0,days
5870,attack_rate,12.7,percentage
5870,attack_rate,16.0,percentage
5870,attack_rate,7.4,percentage
5870,seroprevalence,0.14300000000000002,
6547,attack_rate,35.0,percentage
6547,attack_rate,49.0,percentage
6547,attack_rate,26.0,percentage
6547,seroprevalence,0.39,
7202,human_delay,3.0,days
7202,human_delay,263.5,days
4352,attack_rate,90.1,percentage
17295,relative_contribution,0.857,
17295,relative_contribution,0.035,
1326,attack_rate,0.2,percentage
5671,attack_rate,50.0,percentage
5671,relative_contribution,22.0,
6027,attack_rate,73.0,percentage
6027,attack_rate,57.7,percentage
7312,reproduction_number,0.19,
7312,reproduction_number,1.12,
5971,attack_rate,23.3,percentage
5971,attack_rate,25.2,percentage
5971,attack_rate,22.7,percentage
6321,seroprevalence,0.47900000000000004,
6321,seroprevalence,0.578,
10561,attack_rate,3.0,percentage
10561,seroprevalence,0.388,
10561,seroprevalence,0.005,
10561,seroprevalence,0.807,
506,mutation_rate,4.2,substitutions_per_site_per_year
506,mutation_rate,0.6000000000000001,substitutions_per_site_per_year
6585,attack_rate,1.1,rate
5715,attack_rate,59.0,percentage
5715,attack_rate,1.5,percentage
5715,seroprevalence,0.9400000000000001,
5715,seroprevalence,0.61,
5715,seroprevalence,0.59,
7498,seroprevalence,0.029,
4110,human_delay,9.599,days
6618,attack_rate,18.1,percentage
6618,attack_rate,24.1,percentage
6618,human_delay,7.56,days
6618,seroprevalence,0.211,
6841,attack_rate,18.0,percentage
6841,attack_rate,39.0,percentage
6841,seroprevalence,0.39,
4014,seroprevalence,0.88,
5907,mutation_rate,0.000865,substitutions_per_site_per_year
5775,seroprevalence,0.096,
5775,seroprevalence,0.024,
7114,attack_rate,27.7,percentage
7114,attack_rate,8.0,percentage
7114,attack_rate,12.2,percentage
7114,seroprevalence,0.47800000000000004,
2632,reproduction_number,1.54,
10495,human_delay,3.0,days
7234,seroprevalence,0.0074,
1028,relative_contribution,43.81,
1028,relative_contribution,27.67,
1028,relative_contribution,10.5,
12777,mutation_rate,0.15960000000000002,unspecified
728,attack_rate,9.1,percentage
728,seroprevalence,0.091,
1466,attack_rate,66.0,percentage
8012,seroprevalence,0.718,
7123,human_delay,2.9,days
6869,attack_rate,29.5,percentage
10168,seroprevalence,,
11010,attack_rate,537.87,rate
11010,seroprevalence,0.03,
11010,seroprevalence,0.18,
11010,seroprevalence,0.03,
11010,seroprevalence,0.23500000000000001,
9964,attack_rate,430.0,rate
9964,attack_rate,112.0,rate
9964,seroprevalence,0.8200000000000001,
5951,seroprevalence,0.0,
8302,reproduction_number,3.5,
8302,reproduction_number,5.0,
2578,attack_rate,10.5,percentage
2578,seroprevalence,0.92,
2578,seroprevalence,0.22,
2578,seroprevalence,0.19,
10429,seroprevalence,0.73,
5895,seroprevalence,0.0112,
5895,seroprevalence,0.016800000000000002,
5895,seroprevalence,0.0099,
1955,attack_rate,14.7,percentage
1955,attack_rate,12.2,percentage
1955,attack_rate,5.8,percentage
1955,seroprevalence,0.122,
1955,seroprevalence,0.058,
1955,seroprevalence,0.013000000000000001,
2876,attack_rate,14.0,rate
2876,attack_rate,36.5,rate
2876,growth_rate,0.2,per_day
11133,seroprevalence,0.309,
11133,seroprevalence,0.513,
6850,attack_rate,2.4,percentage
6850,seroprevalence,0.451,
6850,seroprevalence,0.793,
20108,seroprevalence,0.886,
20108,seroprevalence,0.666,
10818,seroprevalence,0.375,
10818,seroprevalence,0.4167,
7464,growth_rate,0.08700000000000001,per_day
7464,growth_rate,0.108,per_day
7464,growth_rate,0.159,per_day
6862,attack_rate,27.0,percentage
6862,seroprevalence,,
11477,seroprevalence,0.28600000000000003,
11477,seroprevalence,0.23700000000000002,
3451,human_delay,19.0,days
3451,seroprevalence,0.17,
3451,seroprevalence,0.28,
3451,seroprevalence,0.132,
3451,severity,0.134,
3451,severity,0.2,
22699,seroprevalence,0.242,
22699,seroprevalence,0.015,
