title,article_id,ai4epi_abstract_decision,downloaded
"Genetic and Serologic Properties of Zika Virus Associated with an Epidemic, Yap State, Micronesia, 2007",PMID_18680646,INCLUDE,True
Prevention and Control of Zika as a Mosquito-Borne and Sexually Transmitted Disease: A Mathematical Modeling Analysis,PMID_27312324,EXCLUDE,True
"Detecting the impact of temperature on transmission of Zika, dengue, and chikungunya using mechanistic models",PMID_28448507,INCLUDE,True
Potential Sexual Transmission of Zika Virus,PMID_25625872,EXCLUDE,True
"Probable Non–Vector-borne Transmission of Zika Virus, Colorado, USA",PMID_21529401,EXCLUDE,True
Transmission Dynamics of Zika Virus in Island Populations: A Modelling Analysis of the 2013–14 French Polynesia Outbreak,PMID_27186984,EXCLUDE,True
Zika virus in the Americas: Early epidemiological and genetic findings,PMID_27013429,EXCLUDE,True
"Animal Models of Zika Virus Infection, Pathogenesis, and Immunity",PMID_28148798,EXCLUDE,True
"Zika Virus Outbreak, Bahia, Brazil",PMID_26401719,EXCLUDE,True
First report of autochthonous transmission of Zika virus in Brazil,PMID_26061233,EXCLUDE,True
The Zika Virus Epidemic in Brazil: From Discovery to Future Implications,PMID_29315224,EXCLUDE,True
Vector Competence of American Mosquitoes for Three Strains of Zika Virus,DOI_2a68eeb4d6fa,INCLUDE,True
A Susceptible Mouse Model for Zika Virus Infection,PMID_27149521,EXCLUDE,True
Molecular Evolution of Zika Virus during Its Emergence in the 20th Century,PMID_24421913,EXCLUDE,True
Strategic Uses of Facebook in Zika Outbreak Communication: Implications for the Crisis and Emergency Risk Communication Model,PMID_30201929,EXCLUDE,True
The wMel strain of Wolbachia Reduces Transmission of Zika virus by Aedes aegypti,PMID_27364935,INCLUDE,True
Genomic epidemiology reveals multiple introductions of Zika virus into the United States,PMID_28538723,INCLUDE,True
Impact of temperature on the extrinsic incubation period of Zika virus in Aedes aegypti,PMID_32187187,INCLUDE,True
An Immunocompetent Mouse Model of Zika Virus Infection,PMID_29746837,EXCLUDE,True
Dynamic Forecasting of Zika Epidemics Using Google Trends,PMID_28060809,INCLUDE,True
Epidemiological and ecological determinants of Zika virus transmission in an urban setting,PMID_28887877,EXCLUDE,True
Zika Virus,PMID_27029595,EXCLUDE,True
An Ecological Assessment of the Pandemic Threat of Zika Virus,PMID_27564232,INCLUDE,True
Mathematical model of Zika virus with vertical transmission,PMID_29928740,INCLUDE,True
Infectious Disease Threats in the Twenty-First Century: Strengthening the Global Response,PMID_30984169,EXCLUDE,True
Complete Coding Sequence of Zika Virus from a French Polynesia Outbreak in 2013,PMID_24903869,EXCLUDE,True
Zika in Rio de Janeiro: Assessment of basic reproduction number and comparison with dengue outbreaks,PMID_28240195,INCLUDE,True
Reproduction numbers of infectious disease models,PMID_29928743,EXCLUDE,True
Dynamics of Zika virus outbreaks: an overview of mathematical modeling approaches,PMID_29593941,EXCLUDE,True
"Zika virus: History, emergence, biology, and prospects for control",PMID_26996139,EXCLUDE,True
"Current challenges and implications for dengue, chikungunya and Zika seroprevalence studies worldwide: A scoping review",PMID_30011271,EXCLUDE,True
A theoretical model for Zika virus transmission,PMID_28977007,INCLUDE,True
