title,article_id,ai4epi_fulltext_decision
Epidemiology of Zika Virus Infection,PMID_29267914,EXCLUDE
"Epidemiology of Zika virus, 1947–2007",PMID_28588942,EXCLUDE
Defining the Risk of Zika and Chikungunya Virus Transmission in Human Population Centers of the Eastern United States,PMID_28095405,INCLUDE
Aedes hensilli as a Potential Vector of Chikungunya and Zika Viruses,PMID_25299181,INCLUDE
"Zika virus displacement by a chikungunya outbreak in Recife, Brazil",PMID_29108009,INCLUDE
Neuropathogenesis of Zika Virus in a Highly Susceptible Immunocompetent Mouse Model after Antibody Blockade of Type I Interferon,PMID_28068342,EXCLUDE
Propagating and Debunking Conspiracy Theories on Twitter During the 2015–2016 Zika Virus Outbreak,PMID_30020821,EXCLUDE
An amplicon-based sequencing framework for accurately measuring intrahost virus diversity using PrimalSeq and iVar,PMID_30621750,EXCLUDE
"Increased rates of Guillain-Barré syndrome associated with Zika virus outbreak in the Salvador metropolitan area, Brazil",PMID_28854206,INCLUDE
First outbreak of Zika virus in the continental United States: a modelling analysis,PMID_28933344,INCLUDE
Guillain–Barré Syndrome (42 Cases) Occurring During a Zika Virus Outbreak in French Polynesia,PMID_27057874,INCLUDE
"Zika Virus Transmission — Region of the Americas, May 15, 2015–December 15, 2016",PMID_28358795,EXCLUDE
"Concomitant Transmission of Dengue, Chikungunya, and Zika Viruses in Brazil: Clinical and Epidemiological Findings From Surveillance for Acute Febrile Illness",PMID_30561554,INCLUDE
Engineered resistance to Zika virus in transgenic <i>Aedes aegypti</i> expressing a polycistronic cluster of synthetic small RNAs,PMID_30723148,INCLUDE
Community engagement for COVID-19 prevention and control: a rapid evidence synthesis,PMID_33051285,EXCLUDE
Implication of vaccination against dengue for Zika outbreak,PMID_27774987,INCLUDE
Organotypic models of type III interferon-mediated protection from Zika virus infections at the maternal–fetal interface,PMID_28784796,EXCLUDE
History and Emergence of Zika Virus,PMID_29267917,EXCLUDE
"Estimating the effects of variation in viremia on mosquito susceptibility, infectiousness, and R0 of Zika in Aedes aegypti",PMID_30133450,INCLUDE
"An optimal control model for COVID‐19, zika, dengue, and chikungunya co‐dynamics with reinfection",PMID_36248678,INCLUDE
Real-time parameter estimation of Zika outbreaks using model averaging,PMID_28566102,INCLUDE
Epidemiological and ecological determinants of Zika virus transmission in an urban setting,DOI_c2b2fe1d096d,EXCLUDE
Zika Virus Infection during Pregnancy in Mice Causes Placental Damage and Fetal Demise,DOI_058e17809b29,EXCLUDE
"Health and Development at Age 19–24 Months of 19 Children Who Were Born with Microcephaly and Laboratory Evidence of Congenital Zika Virus Infection During the 2015 Zika Virus Outbreak — Brazil, 2017",PMID_29240727,INCLUDE
"Dengue, chikungunya and zika virus coinfection: results of the national surveillance during the zika epidemic in Colombia",PMID_30869010,INCLUDE
"Suspected Female-to-Male Sexual Transmission of Zika Virus — New York City, 2016",PMID_27442327,EXCLUDE
Development and Characterization of Recombinant Virus Generated from a New World Zika Virus Infectious Clone,PMID_27795432,INCLUDE
Organoid modeling of Zika and herpes simplex virus 1 infections reveals virus-specific responses leading to microcephaly,PMID_33838105,EXCLUDE
"Vector competence of Aedes aegypti, Culex tarsalis, and Culex quinquefasciatus from California for Zika virus",PMID_29927940,INCLUDE
"Modeling Zika Virus Transmission Dynamics: Parameter Estimates, Disease Characteristics, and Prevention",PMID_31332269,INCLUDE
A Zika virus envelope mutation preceding the 2015 epidemic enhances virulence and fitness for transmission,PMID_32747564,INCLUDE
"Spatio-temporal coherence of dengue, chikungunya and Zika outbreaks in Merida, Mexico",PMID_29543910,INCLUDE
"Early warning systems (EWSs) for chikungunya, dengue, malaria, yellow fever, and Zika outbreaks: What is the evidence? A scoping review",PMID_34529649,EXCLUDE
"Temperature and transmission of chikungunya, dengue, and Zika viruses: A systematic review of experimental studies on Aedes aegypti and Aedes albopictus",PMID_37719233,EXCLUDE
A mutation-mediated evolutionary adaptation of Zika virus in mosquito and mammalian host,PMID_34620704,INCLUDE
Leveraging multiple data types to estimate the size of the Zika epidemic in the Americas,PMID_32986701,INCLUDE
A susceptible mouse model for Zika virus infection,DOI_8f3b9fa3eea9,EXCLUDE
Favipiravir and Ribavirin Inhibit Replication of Asian and African Strains of Zika Virus in Different Cell Models,PMID_29425176,EXCLUDE
Zika seroprevalence declines and neutralizing antibodies wane in adults following outbreaks in French Polynesia and Fiji,PMID_31987069,INCLUDE
Impacts of Zika emergence in Latin America on endemic dengue transmission,PMID_31844054,INCLUDE
Perspectives on monoclonal antibody therapy as potential therapeutic intervention for Coronavirus disease-19 (COVID-19),PMID_32134278,EXCLUDE
Zika: the origin and spread of a mosquito-borne virus,PMID_27708473,EXCLUDE
Oropouche Fever: A Review,PMID_29617280,EXCLUDE
Zika Virus Encoding Nonglycosylated Envelope Protein Is Attenuated and Defective in Neuroinvasion,PMID_28931684,EXCLUDE
Zika might not be acting alone: Using an ecological study approach to investigate potential co-acting risk factors for an unusual pattern of microcephaly in Brazil,PMID_30110370,INCLUDE
Zika Virus: Diagnostics for an Emerging Pandemic Threat,PMID_26888897,EXCLUDE
Case Fatality Rate Related to Microcephaly Congenital Zika Syndrome and Associated Factors: A Nationwide Retrospective Study in Brazil †,PMID_33138282,INCLUDE
"Epidemiology of the Zika virus outbreak in the Cabo Verde Islands, West Africa",DOI_9c6a2fad2da7,EXCLUDE
"Seroprevalence of Dengue, Chikungunya and Zika at the epicenter of the congenital microcephaly epidemic in Northeast Brazil: A population-based survey",PMID_37399197,INCLUDE
Environmental and Social Change Drive the Explosive Emergence of Zika Virus in the Americas,PMID_28182667,EXCLUDE
Inhibition of autophagy limits vertical transmission of Zika virus in pregnant mice,PMID_28694387,EXCLUDE
